defect_id,severity,surface,route,tester_id,professional_identity,personality,new_user_or_power_user,steps_to_reproduce,expected_result,actual_result,artifact_or_task_ids,console_error,screenshot_path,recommended_fix,blocking_status
UAT-P0-001,P0,eCIgn,"/forms/QA-FM-020",HCP-05,IT/Security Officer,Pragmatic Business Owner,power user,"Open /forms/QA-FM-020; click Sign; attempt to continue through eCIgn consent/finalization","User can complete consent, identity, document review, signature, attestation, and finalization; finalization creates a reloadable signed artifact and certificate","Sign modal opened but Accept & Continue was disabled in sampled browser run; finalization, certificate, and signed artifact were not created; prior forensics show signed artifact retrieval unresolved","QA-FM-020","none captured in sampled run","Implement and browser-verify full eCIgn finalization and same-PDF artifact retrieval after refresh from task, Evidence Center, Audit Mode, audit trail, and Artifact Viewer",BLOCKING
UAT-P0-002,P0,CES Q1 Completion Drill,"/ces/calendar",ADM-03,Administrator,Pragmatic Business Owner,power user,"Attempt final Q1 2026 CES completion drill across all Q1 events","All Q1 events complete only after required workflow, forms, evidence, eCIgn, admin/supervisor signoff, locked PDFs, and audit lock complete","0 of 9 Q1 events were completed; eCIgn/admin review/locked PDF/evidence package lock were not verified","governance_packet_review-20260108-01; ep_plan_review-20260115-01; ep_staff_training-20260122-01; qapi_meeting-20260205-04; hha_aide_inservice-20260209-01; hha_skill_observation-20260225-01; hha_aide_observation-20260311-01; ep_exercise-20260318-01; hhcahps_filing-20260331-01","not applicable","Fix eCIgn/evidence/form identity gates, then rerun Q1 drill event-by-event with artifact IDs captured",BLOCKING
UAT-P0-003,P0,Evidence Center,"/evidence",HCP-07,Surveyor/External Auditor Persona,Frontline Workflow Realist,power user,"Review existing unresolved Evidence Center forensics; attempt to rely on Evidence Center for signed artifact chain","Evidence metadata and artifact content both persist and open after hard refresh","Prior forensics document metadata-only evidence where local metadata survives but artifact blobs do not; no browser proof showed this is fixed","reg-execution-v2; demoEvidenceRuntimeCache","not captured in this run","Persist artifact content durably or show explicit unavailable state; verify hard-refresh artifact opening and reset cleanup",BLOCKING
UAT-P1-001,P1,Forms / CES Required Forms,"/forms/FRM-QAPI-019",HCP-01,QAPI Coordinator,Pragmatic Business Owner,new user,"Open CES/QAPI required form reference FRM-QAPI-019 directly","Required QAPI form opens as correct form or canonical form instance","Browser returned Form Not Found for FRM-QAPI-019 even though V3 CES seed lists it as required","FRM-QAPI-019","none","Map CES seed required form IDs to Enterprise Forms Library formId/canonical form instance IDs or update references",BLOCKING
UAT-P1-002,P1,Forms / Q1 Required Forms,"/forms/OP-FM-030",ADM-02,Administrator,Detail-Oriented Perfectionist,new user,"Open Q1 EP plan required form OP-FM-030 directly","Required EP HVA form opens as correct form or canonical form instance","Browser returned Form Not Found for OP-FM-030 from sampled Q1 required form","ep_plan_review-20260115-01; OP-FM-030","none","Reconcile Q1 requiredForms formId values with Enterprise Forms Library and CES task form launch behavior",BLOCKING
UAT-P1-003,P1,PM / My Tasks,"/pm/my-tasks",ADM-04,Administrator,Tech-Savvy Early Adopter,power user,"Open /pm/my-tasks on local ports 5174/5175","PM task route should run in local/demo mode without raw external service failures","Console emitted CORS/fetch failures against AWS PM endpoints and fell back to local cache","demo-user-careindeed","CORS policy blocks rtllnugat0.execute-api.us-west-1.amazonaws.com PM endpoints","Add reliable local/demo API fallback or configure allowed origin; surface friendly offline state",BLOCKING
UAT-P1-004,P1,CES Calendar,"/ces/calendar",DON-03,Director of Nursing,Tech-Savvy Early Adopter,power user,"Review active terminal evidence from local dev server after opening CES calendar","CES calendar should render without runtime crash","Terminal captured React runtime error: Cannot read properties of undefined reading bg in EventAnchorMarker","ComplianceCalendar.tsx EventAnchorMarker","TypeError: Cannot read properties of undefined (reading 'bg')","Guard/normalize domain tone mapping and add browser regression for all seeded event domains",BLOCKING
UAT-P1-005,P1,Print / Download,"/forms/QA-FM-020; /print/GV-GB-001",ADM-06,Administrator,Detail-Oriented Perfectionist,power user,"Open policy print and sampled form; compare with unresolved signed PDF print forensics","Signed form print/download should use the exact finalized signed artifact, not a template or regenerated PDF","Policy print route rendered, but signed form print/download could not be verified because eCIgn finalization did not complete; prior forensics show route drift risk","QA-FM-020; GV-GB-001","none in sampled route","Fix after eCIgn artifact persistence; verify print/download after hard refresh with signed content hash",BLOCKING
UAT-P1-006,P1,Artifact Viewer,"/artifacts/test-missing",HCP-07,Surveyor/External Auditor Persona,Frontline Workflow Realist,new user,"Open a missing artifact route directly","Artifact Viewer should clearly explain missing/unavailable artifact and show actionable metadata","Route returned shell/sidebar text in smoke sample and did not prove clear artifact preview or recovery; signed artifacts could not be opened","test-missing","none","Add explicit missing-artifact state and verify signed/certified artifacts open from all required entry points",BLOCKING
UAT-P2-001,P2,Command Gates,"npm run lint",HCP-05,IT/Security Officer,Pragmatic Business Owner,power user,"Run npm run lint","Lint should pass or have scoped known waivers outside release path","Lint failed with 980 problems: 361 errors and 619 warnings","repo-wide","eslint exited 1","Separate generated/archive/UAT lint scopes, then fix release-path lint errors before demo branch lock",NON_BLOCKING_FOR_ROUTE_SMOKE
