corridor_ref,our_policy_id,status,summary
"4-018 Initial and Comprehensive Assessment","CL-CA-001","COVERED","Initial visit ≤48h, comprehensive ≤5 days; OASIS at SOC."
"4-018 Comprehensive Assessment","CL-CA-002","COVERED","Recertification comprehensive assessment cycle."
"","CL-CA-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-CA-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"4-018 Homebound Determination","CL-CA-005","COVERED","Homebound status determination per §409.42."
"","CL-CA-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-CA-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"5-001 Clinical Record Content","CL-CD-001","COVERED","Clinical record content, authentication, timeliness."
"","CL-CD-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-CD-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-CD-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"4-002 / 4-003 Plan of Care & Verification of Orders","CL-CP-001","COVERED","POC development, physician orders, verbal-order readback and 72h cosign."
"4-019 Ongoing Assessments","CL-CP-002","COVERED","Ongoing assessments and POC revision triggers."
"4-043 Transfer/Referral Criteria","CL-CP-003","COVERED","Transfer/referral process and discharge summary timing."
"","CL-CP-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-CP-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-CP-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-CP-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-CP-008","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-CP-009","PARTIAL","Subdomain-default crosswalk; SME review required."
"4-018 OASIS Data Set","CL-OA-001","COVERED","OASIS assessment timing, accuracy, locking."
"","CL-OA-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"5-001 Documentation Hierarchy","CL-OA-006","COVERED","Evidence-source prioritization for OASIS coding."
"","CL-OA-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-008","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-009","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-010","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-011","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-012","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-013","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-014","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-015","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-016","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-017","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-018","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-OA-019","PARTIAL","Subdomain-default crosswalk; SME review required."
"2-002 Patient Bill of Rights","CL-PR-001","COVERED","Patient Bill of Rights, delivery and acknowledgment."
"2-005 Informed Consent / Refusal of Treatment","CL-PR-002","COVERED","Informed consent at SOC and on material POC change."
"2-038 Ethical Issues","CL-PR-003","COVERED","Ethical issues escalation; ethics committee referral."
"4-009 Advance Directives","CL-PR-004","COVERED","Advance directives offered at admission and recert."
"2-002.E Restraint Prohibition","CL-PR-005","COVERED","Restraints prohibited in home health setting."
"2-002.F Abuse, Neglect & Exploitation","CL-PR-006","COVERED","Reporting of suspected abuse/neglect/exploitation; APS notice."
"","CL-SD-001","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-008","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-009","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-010","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-011","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-012","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-013","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-014","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-015","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-016","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-017","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-018","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-019","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-020","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-021","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-022","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-023","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-024","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CL-SD-025","PARTIAL","Subdomain-default crosswalk; SME review required."
"1-014 Corporate Compliance Program","CO-CA-001","COVERED","Compliance Officer, code of conduct, hotline, audits."
"1-014 Compliance Plan","CO-CP-001","COVERED","Written compliance plan and seven-element Compliance Program."
"","CO-CP-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-CP-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-CP-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-CP-005","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-CP-006","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-CP-007","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-CP-008","PARTIAL","Subdomain-default crosswalk; SME review required."
"5-002 Documentation Compliance","CO-DC-001","COVERED","Documentation timeliness, authentication, late-entry rules."
"","CO-DC-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-DC-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-DC-004","PARTIAL","Subdomain-default crosswalk; SME review required."
"1-014.A Fraud / Waste / Abuse","CO-FA-001","COVERED","FWA training, reporting, non-retaliation."
"","CO-FA-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-FA-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"2-014 HIPAA Privacy","CO-HP-001","COVERED","HIPAA Privacy Rule compliance; minimum-necessary."
"","CO-HP-002","PARTIAL","Subdomain-default crosswalk; SME review required."
"","CO-HP-003","PARTIAL","Subdomain-default crosswalk; SME review required."
"2-016 HIPAA Breach Notification","CO-HP-004","COVERED","Breach risk assessment, 60-day notification, OCR reporting."
