module_id,module_title,lesson_count,role_applicability_union,pp_codes,federal_regulation_references,cms_cop_references,california_title22_references,achc_hh_standards,workflow_ids,form_ids,evidence_requirements_union,survey_criticality_max,risk_level_max,retraining_frequency,remediation_required_any,competency_required,evidence_generation_required,achc_mapping_confidence,regulation_mapping_confidence,mapping_review_required
Module-M01,Organization; Compliance; Workforce and IT Foundations,13,Admin|CNA|Comp|DON|HHA|HR|IT|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M02,Patient Rights / Responsibilities,3,Admin|CNA|Comp|DON|HHA|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M03,Ethics / Respectful Communication,5,Admin|CNA|Comp|DON|HHA|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,CRITICAL,CRITICAL,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M04,HIPAA / Privacy Basics,7,Admin|CNA|Comp|DON|HHA|HR|IT|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,CRITICAL,CRITICAL,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M05,Data Governance / PHI Controls,4,Admin|CNA|Comp|DON|HHA|HR|IT|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M06,"Fraud, Waste, and Abuse",7,Admin|CNA|Comp|DON|HHA|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M07,Infection Prevention / Bag Technique,3,CNA|Comp|DON|HHA|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M08,Employee Health / Exposure Response,8,Admin|CNA|Comp|DON|HHA|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M09,OSHA / Workplace Safety,4,Admin|CNA|Comp|DON|HHA|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M10,Field / Visit Safety,8,Admin|CNA|Comp|DON|HHA|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M11,Emergency Preparedness Core,6,Admin|CNA|Comp|DON|HHA|HR|IT|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,HIGH,HIGH,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M12,Emergency Drills,3,Admin|CNA|Comp|DON|HHA|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M13,CMS CoP / Assessment,4,Admin|CNA|Comp|DON|HHA|HR|LVN|RN,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,CRITICAL,CRITICAL,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
