"Scene_ID","Act","Slide_Number","Scene_Title","Location","Narration_Text","TTS_Pacing_s","Emotion_Tone","Transition_In","Transition_Out","FLUX_Image_Prompt","PuLID_Character_Guidance","Negative_Prompt","Camera_Framing","ACHC_Topic","Policy_Reference","Learning_Objective_ID","Compliance_Category","Operational_Workflow","Assessment_Linkage","Debrief_Linkage","Scenario_Type","Risk_Category","Escalation_Path","Documentation_Requirement","Patient_Safety_Impact","Survey_Risk","Reconciliation_Status","Slide_Type","Challenge_Question","Option_A","Option_B","Option_C","Option_D","Correct_Answer_Index","Correct_Answer_Label","Debrief_Text"
"M01-PA-INTRO","Pre-Assessment","PA-0","Pre-Assessment: Before the Journey Begins","Marites' living room — Manila, the evening before departure","Before Marites boards her flight from Manila, we pause. The house is quiet. Her bags are packed. Her lola's bracelet is on her wrist. This is your pre-assessment checkpoint. Three questions — drawn from the real situations Marites is about to walk into. They test what you already know about cultural competence, language access, and patient rights in home health. There are no penalties here. Answer honestly. Your responses calibrate the journey ahead. Ready? Let us begin.","55","Calm focused","Fade from black","Cut to first pre-assessment question","Photorealistic documentary interior of a modest Filipino living room at evening, Filipina nurse seated at table with packed bag nearby and parol lantern glowing on wall, quiet contemplative mood, 35mm lens, warm incandescent light.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Evening light, bracelet visible, pensive but composed expression.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium close — Marites at table","Cultural awareness; Compliance obligations","ACHC CLAS Domain 1; Pre-Assessment Standards","LO1","Training Foundations","Pre-assessment orientation","PA-Q1","N/A","Pre-assessment intro","Low","N/A","None","Sets learner orientation before first question","Low","Mapped","pre-assessment-intro","","","","","","","",""
"M01-PA-Q1","Pre-Assessment","PA-1","Pre-Assessment Question 1: Comprehension Signals","Interactive question card — Philippines context","Question one. During a home visit in Quezon City, Marites is teaching an elderly patient how to manage her medications. After each instruction, the patient nods and says yes. Marites pauses. What does this most likely tell her? Option A: The patient understood each instruction completely. Option B: The patient is being respectful and attentive — but comprehension has not been verified. Option C: The teaching session is complete and documentation can reflect successful education. Option D: A family member can confirm understanding at the next visit. Choose the answer that best reflects safe clinical practice.","52","Instructional focused","Cut from intro card","Cut to pre-assessment debrief 1","Photorealistic documentary image of Filipina nurse at bedside in Philippine home, elderly patient nodding during medication instruction, warm natural light, 35mm lens, authentic body language.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Philippine home setting — modest bedroom, natural light.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot — nurse and patient","Communication failures; Cultural awareness","CLAS Standard 5; Teach-Back Protocol","LO3","Pre-Assessment","Comprehension verification","PA-Q1","PA-D1","Pre-assessment MCQ","High","N/A","None","Tests baseline comprehension verification knowledge","High","Mapped","pre-assessment-challenge","A patient nods and says yes after each instruction during medication teaching. What does this most likely tell you?","The patient understood each instruction completely.","The patient is being respectful and attentive — but comprehension has not been verified.","The teaching session is complete and documentation can reflect successful education.","A family member can confirm understanding at the next visit.","1","B",""
"M01-PA-D1","Pre-Assessment","PA-1D","Pre-Assessment Debrief 1: The Nod Is Not Enough","Debrief card — Philippines context","Operational Case Review
1) Correct decision: Option B is correct because it preserves patient safety and workflow integrity under pressure.
2) Why correct: The patient is being respectful and attentive — but comprehension has not been verified.
3) Incorrect option analysis:
- Option A risk: The patient understood each instruction completely.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option C risk: The teaching session is complete and documentation can reflect successful education.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option D risk: A family member can confirm understanding at the next visit.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
4) Patient safety implications: uncontrolled communication barriers or delayed escalation can compound into harm.
5) Workflow implications: sequence matters; right actions in the wrong order still produce risk.
6) Documentation implications: chart objective findings, what was verified, what was escalated, and who received handoff.
7) Escalation implications: trigger supervisor pathway when unresolved clinical, communication, or conduct risk remains.
8) Survey implications: ACHC/CMS reviewers focus on evidence chain, not intent.
9) Operational consequences: unresolved gaps can lead to adverse events, corrective action, and loss of trust.
10) Disciplinary/legal/defensibility: omissions and unsupported charting increase disciplinary risk and weaken legal defense.

The correct answer is B. In many cultures — including Filipino, Asian, and Latin American communities — nodding and saying yes during instruction is a gesture of respect and attentiveness, not a signal of comprehension. If you selected A or C, this module will show you exactly why assumed understanding is one of the most common pathways to patient harm in home health. If you selected D, family confirmation is not a substitute for verified comprehension at the point of teaching. If you selected B, you already think like a clinician who closes the gap between what was said and what was understood. That gap is where medication errors, missed symptoms, and safety failures live. Throughout this module, you will see Marites practice the correct alternative: teach-back, with documented results.","95","Operational case-review coaching","Correct-answer reveal animation","Cut to pre-assessment question 2","Photorealistic debrief visual — nurse reviewing teach-back documentation at modest Philippine desk, warm light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Reflective documentation posture. Philippines home context.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium close — nurse with chart","Communication failures; Interpreter services","Teach-Back Protocol; CLAS Standard 5","LO3","Pre-Assessment Debrief","Teach-back as comprehension control","PA-Q1","PA-D1","Pre-assessment debrief","High","N/A","Document teach-back result each visit","Reduces patient harm from assumed comprehension","High","Mapped","pre-assessment-debrief","","","","","","","","Operational Case Review
1) Correct decision: Option B is correct because it preserves patient safety and workflow integrity under pressure.
2) Why correct: The patient is being respectful and attentive — but comprehension has not been verified.
3) Incorrect option analysis:
- Option A risk: The patient understood each instruction completely.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option C risk: The teaching session is complete and documentation can reflect successful education.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option D risk: A family member can confirm understanding at the next visit.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
4) Patient safety implications: uncontrolled communication barriers or delayed escalation can compound into harm.
5) Workflow implications: sequence matters; right actions in the wrong order still produce risk.
6) Documentation implications: chart objective findings, what was verified, what was escalated, and who received handoff.
7) Escalation implications: trigger supervisor pathway when unresolved clinical, communication, or conduct risk remains.
8) Survey implications: ACHC/CMS reviewers focus on evidence chain, not intent.
9) Operational consequences: unresolved gaps can lead to adverse events, corrective action, and loss of trust.
10) Disciplinary/legal/defensibility: omissions and unsupported charting increase disciplinary risk and weaken legal defense.

The correct answer is B. In many cultures — including Filipino, Asian, and Latin American communities — nodding and saying yes during instruction is a gesture of respect and attentiveness, not a signal of comprehension. If you selected A or C, this module will show you exactly why assumed understanding is one of the most common pathways to patient harm in home health. If you selected D, family confirmation is not a substitute for verified comprehension at the point of teaching. If you selected B, you already think like a clinician who closes the gap between what was said and what was understood. That gap is where medication errors, missed symptoms, and safety failures live. Throughout this module, you will see Marites practice the correct alternative: teach-back, with documented results."
"M01-PA-Q2","Pre-Assessment","PA-2","Pre-Assessment Question 2: Interpreter Services","Interactive question card — Philippines context","Question two. Marites is preparing for a home visit where the patient speaks limited English. The patient's adult son meets her at the door and offers to interpret for his mother. The teaching session today covers insulin injection technique and dosage. What is the most appropriate response? Option A: Accept the offer — family interpretation is faster and more personal. Option B: Accept — the patient nodded agreement when asked. Option C: Thank the son for offering and explain that a qualified interpreter will be requested for clinical teaching. Option D: Proceed with teaching and note in the chart that a family member assisted with interpretation. Choose the option that reflects safe practice and agency policy.","55","Instructional focused","Cut from debrief 1","Cut to pre-assessment debrief 2","Photorealistic documentary image of nurse at residential front door, adult son present as informal interpreter offer, realistic body language, natural exterior light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Residential doorway — realistic suburban setting.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — doorway two-shot","Interpreter services; Language access","Interpreter Services Policy; CLAS Standard 4","LO3","Pre-Assessment","Qualified interpreter requirement","PA-Q2","PA-D2","Pre-assessment MCQ","High","N/A","None","Tests baseline interpreter workflow knowledge","High","Mapped","pre-assessment-challenge","A patient's adult son offers to interpret during insulin injection teaching. What is the most appropriate response?","Accept the offer — family interpretation is faster and more personal for the patient.","Accept — the patient nodded agreement when asked.","Thank the son and explain that a qualified interpreter will be requested for clinical teaching.","Proceed with teaching and note in the chart that a family member assisted with interpretation.","2","C",""
"M01-PA-D2","Pre-Assessment","PA-2D","Pre-Assessment Debrief 2: Family Is Not a Qualified Interpreter","Debrief card — Philippines context","Operational Case Review
1) Correct decision: Option C is correct because it preserves patient safety and workflow integrity under pressure.
2) Why correct: Thank the son and explain that a qualified interpreter will be requested for clinical teaching.
3) Incorrect option analysis:
- Option A risk: Accept the offer — family interpretation is faster and more personal for the patient.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option B risk: Accept — the patient nodded agreement when asked.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option D risk: Proceed with teaching and note in the chart that a family member assisted with interpretation.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
4) Patient safety implications: uncontrolled communication barriers or delayed escalation can compound into harm.
5) Workflow implications: sequence matters; right actions in the wrong order still produce risk.
6) Documentation implications: chart objective findings, what was verified, what was escalated, and who received handoff.
7) Escalation implications: trigger supervisor pathway when unresolved clinical, communication, or conduct risk remains.
8) Survey implications: ACHC/CMS reviewers focus on evidence chain, not intent.
9) Operational consequences: unresolved gaps can lead to adverse events, corrective action, and loss of trust.
10) Disciplinary/legal/defensibility: omissions and unsupported charting increase disciplinary risk and weaken legal defense.

The correct answer is C. CLAS Standards and agency policy require a qualified interpreter for clinical decision-making and education — not because the son is untrustworthy, but because medical interpretation requires specific training that most family members do not have. Family members may simplify instructions to protect the patient, introduce errors in medical terminology, withhold distressing information, or be placed in an emotionally impossible position between provider and loved one. If you selected A, B, or D, this module will walk you through the full interpreter activation workflow — including what to say to families who offer to help, when to activate the service, and what to document afterward. Insulin administration is high-stakes. An incorrect dose taught through an unqualified interpreter is a preventable adverse event with documentation consequences.","95","Operational case-review coaching","Answer reveal animation","Cut to pre-assessment question 3","Photorealistic debrief image — nurse on interpreter phone call in modest home, patient present, realistic setting, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Interpreter call in session — bracelet and badge consistent.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — nurse with phone at patient home","Language access; Interpreter services","Interpreter Workflow Policy; CLAS Standard 4","LO3","Pre-Assessment Debrief","Qualified interpretation as patient safety control","PA-Q2","PA-D2","Pre-assessment debrief","High","Supervisor if interpreter unavailable","Document interpreter ID and method","Prevents medication error from unqualified interpretation","High","Mapped","pre-assessment-debrief","","","","","","","","Operational Case Review
1) Correct decision: Option C is correct because it preserves patient safety and workflow integrity under pressure.
2) Why correct: Thank the son and explain that a qualified interpreter will be requested for clinical teaching.
3) Incorrect option analysis:
- Option A risk: Accept the offer — family interpretation is faster and more personal for the patient.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option B risk: Accept — the patient nodded agreement when asked.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option D risk: Proceed with teaching and note in the chart that a family member assisted with interpretation.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
4) Patient safety implications: uncontrolled communication barriers or delayed escalation can compound into harm.
5) Workflow implications: sequence matters; right actions in the wrong order still produce risk.
6) Documentation implications: chart objective findings, what was verified, what was escalated, and who received handoff.
7) Escalation implications: trigger supervisor pathway when unresolved clinical, communication, or conduct risk remains.
8) Survey implications: ACHC/CMS reviewers focus on evidence chain, not intent.
9) Operational consequences: unresolved gaps can lead to adverse events, corrective action, and loss of trust.
10) Disciplinary/legal/defensibility: omissions and unsupported charting increase disciplinary risk and weaken legal defense.

The correct answer is C. CLAS Standards and agency policy require a qualified interpreter for clinical decision-making and education — not because the son is untrustworthy, but because medical interpretation requires specific training that most family members do not have. Family members may simplify instructions to protect the patient, introduce errors in medical terminology, withhold distressing information, or be placed in an emotionally impossible position between provider and loved one. If you selected A, B, or D, this module will walk you through the full interpreter activation workflow — including what to say to families who offer to help, when to activate the service, and what to document afterward. Insulin administration is high-stakes. An incorrect dose taught through an unqualified interpreter is a preventable adverse event with documentation consequences."
"M01-PA-Q3","Pre-Assessment","PA-3","Pre-Assessment Question 3: Rights and Accommodation","Interactive question card — Philippines context","Question three. Marites arrives at a patient's home for a scheduled wound care visit. The patient's family tells her that their religious beliefs require gender-concordant care — the patient cannot be treated by a provider of the opposite gender. Marites notices the wound dressing appears soiled and the wound may be deteriorating. She is the only clinician available in the area within the next two hours. What is the most defensible response? Option A: Explain respectfully that clinical urgency takes priority over accommodation requests in situations like this. Option B: Acknowledge the request, assess the wound urgency immediately, contact your supervisor for accommodation options, and document the preference and your clinical findings. Option C: Ask the patient to sign a temporary waiver so care can proceed. Option D: Leave the home and schedule a callback for when an appropriate clinician is available, without assessing the wound. Choose the option you believe is most defensible.","60","Instructional tense","Cut from debrief 2","Cut to pre-assessment debrief 3","Photorealistic documentary image of nurse at residential front door with concerned family member, clinical urgency visible in nurse's posture, realistic natural light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. At patient doorway — first visit energy. Bracelet visible.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — doorway with family in background","Patient rights; Cultural awareness; Escalation","Patient Rights Policy; CLAS Domain 2; Escalation SOP","LO1|LO3|LO5","Pre-Assessment","Accommodation and urgency — dual obligation","PA-Q3","PA-D3","Pre-assessment MCQ","High","Supervisor escalation required","None — pre-assessment stage","Tests baseline rights-plus-urgency decision knowledge","High","Mapped","pre-assessment-challenge","A patient's religious beliefs require gender-concordant care. You notice the wound dressing appears soiled and deteriorating. You are the only clinician available for two hours. Most defensible response?","Explain respectfully that clinical urgency takes priority over accommodation requests in this situation.","Acknowledge the request, assess wound urgency immediately, contact your supervisor for accommodation options, and document both.","Ask the patient to sign a temporary waiver so care can proceed.","Leave the home and schedule a callback for when an appropriate clinician is available — without assessing the wound.","1","B",""
"M01-PA-D3","Pre-Assessment","PA-3D","Pre-Assessment Debrief 3: Rights and Urgency Travel Together","Debrief card — Philippines context","Operational Case Review
1) Correct decision: Option B is correct because it preserves patient safety and workflow integrity under pressure.
2) Why correct: Acknowledge the request, assess wound urgency immediately, contact your supervisor for accommodation options, and document both.
3) Incorrect option analysis:
- Option A risk: Explain respectfully that clinical urgency takes priority over accommodation requests in this situation.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option C risk: Ask the patient to sign a temporary waiver so care can proceed.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option D risk: Leave the home and schedule a callback for when an appropriate clinician is available — without assessing the wound.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
4) Patient safety implications: uncontrolled communication barriers or delayed escalation can compound into harm.
5) Workflow implications: sequence matters; right actions in the wrong order still produce risk.
6) Documentation implications: chart objective findings, what was verified, what was escalated, and who received handoff.
7) Escalation implications: trigger supervisor pathway when unresolved clinical, communication, or conduct risk remains.
8) Survey implications: ACHC/CMS reviewers focus on evidence chain, not intent.
9) Operational consequences: unresolved gaps can lead to adverse events, corrective action, and loss of trust.
10) Disciplinary/legal/defensibility: omissions and unsupported charting increase disciplinary risk and weaken legal defense.

The correct answer is B. Patient rights and dignity are not suspended when clinical urgency is present. The defensible response holds both obligations simultaneously — you do not choose one and abandon the other. You acknowledge the accommodation request. You assess clinical urgency immediately at the bedside. You escalate to your supervisor for accommodation routing. You document the preference, your clinical findings, and the plan. Option A is wrong because it unilaterally overrides a legitimate right without attempting an accommodation process — this creates survey exposure and trust rupture. Option C is wrong because a waiver form before a clinical urgency assessment inverts the correct sequence. Option D abandons the patient at the moment of highest clinical risk with no urgency finding on record. If you selected B, you already understand the principle this module will reinforce through Marites' story. If you selected anything else, you will see exactly how this decision plays out — and why the correct sequence matters — when Marites faces it for the first time at Mr. Henderson's door.","95","Operational case-review coaching","Answer reveal","Dissolve to Act 1 opening","Photorealistic debrief image — nurse on phone outside residential home, supervisor call in progress, chart open, bracelet visible, realistic documentary realism, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Outside patient home — escalation call posture. Bracelet close.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — nurse with phone at doorway","Patient rights; Dignity and respect; Escalation","CLAS Domain 2; Patient Rights Policy; Escalation SOP","LO1|LO3|LO5","Pre-Assessment Debrief","Simultaneous rights and urgency management","PA-Q3","PA-D3","Pre-assessment debrief","High","Supervisor → DON if accommodation cannot be arranged","Document preference, urgency findings, escalation route, and plan","Prevents harm from clinical delay AND from rights override","High","Mapped","pre-assessment-debrief","","","","","","","","Operational Case Review
1) Correct decision: Option B is correct because it preserves patient safety and workflow integrity under pressure.
2) Why correct: Acknowledge the request, assess wound urgency immediately, contact your supervisor for accommodation options, and document both.
3) Incorrect option analysis:
- Option A risk: Explain respectfully that clinical urgency takes priority over accommodation requests in this situation.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option C risk: Ask the patient to sign a temporary waiver so care can proceed.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option D risk: Leave the home and schedule a callback for when an appropriate clinician is available — without assessing the wound.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
4) Patient safety implications: uncontrolled communication barriers or delayed escalation can compound into harm.
5) Workflow implications: sequence matters; right actions in the wrong order still produce risk.
6) Documentation implications: chart objective findings, what was verified, what was escalated, and who received handoff.
7) Escalation implications: trigger supervisor pathway when unresolved clinical, communication, or conduct risk remains.
8) Survey implications: ACHC/CMS reviewers focus on evidence chain, not intent.
9) Operational consequences: unresolved gaps can lead to adverse events, corrective action, and loss of trust.
10) Disciplinary/legal/defensibility: omissions and unsupported charting increase disciplinary risk and weaken legal defense.

The correct answer is B. Patient rights and dignity are not suspended when clinical urgency is present. The defensible response holds both obligations simultaneously — you do not choose one and abandon the other. You acknowledge the accommodation request. You assess clinical urgency immediately at the bedside. You escalate to your supervisor for accommodation routing. You document the preference, your clinical findings, and the plan. Option A is wrong because it unilaterally overrides a legitimate right without attempting an accommodation process — this creates survey exposure and trust rupture. Option C is wrong because a waiver form before a clinical urgency assessment inverts the correct sequence. Option D abandons the patient at the moment of highest clinical risk with no urgency finding on record. If you selected B, you already understand the principle this module will reinforce through Marites' story. If you selected anything else, you will see exactly how this decision plays out — and why the correct sequence matters — when Marites faces it for the first time at Mr. Henderson's door."
"M01-S01","Act 1","S01","Before Sunrise in Quezon City","Quezon City family kitchen — pre-dawn","It is 4:45 in the morning in Quezon City. Marites is already awake. This is not unusual. In the Philippines, the day begins before the sun does. She can hear her mother moving in the kitchen — rice cooker clicking, garlic hitting oil — the sounds of a family that has always started early and worked hard. She folds her scrub top, smooths out the sleeve, and lays it across her nursing bag. On the bag's outer pocket is a small photo: her grandmother standing in front of a mango tree after Sunday Mass. Marites touches it before she does anything else. She is not a new nurse. She has managed post-surgical wounds, administered intravenous medications, and handled difficult family conversations at three in the morning. What is new is the country she is about to work in — and she knows that professional competence and system fluency are two different things.","72","Grounded hopeful","Dissolve from pre-assessment close","Soft cut to lola at table","Photorealistic documentary still of a Filipina woman in navy scrubs sitting in a small pre-dawn kitchen, rice cooker visible, warm incandescent light, cinematic 35mm lens, shallow depth of field, authentic film grain.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium wide eye-level","Cultural awareness; Workforce inclusion","ACHC CLAS Domain 1; Agency Cultural Competence Policy","LO1","Training Foundations","Pre-shift preparation","N/A","N/A","Narrative setup","Low","N/A","None","Grounds emotional connection before clinical content begins","Low","Mapped","content","","","","","","","",""
"M01-S02","Act 1","S02","The Mano Po Moment","Kitchen doorway — grandmother at table","Her lola — her grandmother — sits at the table already dressed for six o'clock Mass. When Marites enters the kitchen, she bows slightly and takes her grandmother's hand, pressing the back of it gently to her forehead. Mano po, Lola. Her grandmother closes her eyes for a moment, then places her hand on Marites' head in blessing. This is Mano Po — a greeting and a gesture of deep respect that Marites has performed every morning since she was four years old. It is not ceremony. It is how she begins every day: by honoring the person who taught her that other people's dignity is not optional. Her grandmother says quietly: Take care of them the way I know you do. This daily ritual is not separate from Marites' clinical practice. She does not have to be taught to slow down, to soften her language, or to make eye contact without condescension — it is already the grammar of her days.","80","Reverent warm","Soft cut from kitchen scene","Fade to family breakfast table","Photorealistic close documentary shot of Filipina nurse bowing slightly, taking elderly woman's hand and pressing it to her forehead in traditional Mano Po greeting, warm morning kitchen light, 50mm lens, true skin texture.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Lola: elderly Filipina woman, white hair, simple church dress, deeply warm expression.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Close two-shot — eye-level","Dignity and respect; Cultural awareness","ACHC CLAS Standards Domain 2; Patient Rights Policy","LO1|LO5","Cultural Foundations","Intergenerational respect ritual","N/A","N/A","Cultural narrative","Low","N/A","None","Establishes Marites' core dignity value before U.S. clinical context","Low","Mapped","content","","","","","","","",""
"M01-S03","Act 1","S03","Family Breakfast and Bayanihan","Family dining area — last week home","Breakfast is loud and crowded. Her kuya has already stopped by before his hospital shift. Her tita from next door brought bibingka. Two cousins are arguing about basketball. Nobody was called. Everyone just came. Marites' grandmother grew up in a barangay where Bayanihan was not a concept — it was a physical event. When a family needed to move their bahay kubo — their bamboo home raised on stilts — the entire village would gather unannounced, crouch beneath the structure together, and carry the whole house to its new location on their collective shoulders. Fifteen, twenty men. No one appointed, no one paid. Lifting and moving because the need was visible and the community was the response. When it was done, the family prepared food. That was the entire exchange. Today we carry yours. Tomorrow you carry ours. That is Bayanihan. Not a feeling. A physical act. A village that can lift a house when one family cannot. Marites sits down and her plate is filled before she asks. Her mother says: Kumain ka na — eat now — meaning: you take care of everyone else, so let us take care of you. Nobody cries when the conversation turns to departure. They problem-solve. Her kuya: Keep a printed copy of your license. Do not trust only digital. Her tita: Call us Sundays, we will all be home. Her mother: Eat rice. Even over there. In U.S. healthcare workplaces, Bayanihan instinct can create friction. Unsolicited help across role boundaries can be received as overstepping or scope confusion. Marites will need to translate this instinct — offer support through sanctioned channels, coordinate rather than self-deploy. The spirit stays. The execution adapts.","88","Warm communal","Fade from Mano Po scene","Cut to parol on wall","Photorealistic documentary wide shot of a crowded Filipino family breakfast table, multiple generations, traditional bibingka on table, warm natural morning light through shuttered windows, authentic chaos of communal meal, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Secondary family members: varied ages, casual Filipino home clothing, authentic warm expressions.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Wide ensemble — eye-level","Workforce inclusion; Cultural awareness","ACHC CLAS Domain 1; Agency Inclusion Policy","LO5","Cultural Foundations","Team-care and communal support values","N/A","N/A","Cultural narrative","Low","N/A","None","Shows communal care instinct that will need to adapt to U.S. role boundaries","Low","Mapped","content","","","","","","","",""
