module_id,module_name,track,target_roles,status,grouping_owner,content_owner,lms_owner,last_updated,blocker
M02,Fraud Waste and Abuse (FWA),A,ALL,Drafted,,,,2026-05-01,
M03,Non-Retaliation and Ethics Reporting,A,ALL,Drafted,,,,2026-05-01,
M04,HIPAA Privacy and Patient Rights,A,ALL,Drafted,,,,2026-05-01,
M05,HIPAA Security and Data Protection,A,ALL,Drafted,,,,2026-05-01,
M06,Sensitive Data (CMIA HIV SUD Minors),A,ALL,Drafted,,,,2026-05-01,
M07,Data Governance and Minimum Necessary,A,ALL,Drafted,,,,2026-05-01,
M08,Incident Reporting and Breach Response,A,ALL,Drafted,,,,2026-05-01,
M09,Business Associates and Vendor Compliance,A,SUPERVISOR|COMPLIANCE|ADMIN,Drafted,,,,2026-05-01,
M10,AI and Technology Use Governance,A,ALL,Drafted,,,,2026-05-01,
M11,CMS CoP Overview (42 CFR Part 484),B,ALL,Drafted,,,,2026-05-01,
M12,Patient Rights (Clinical Application),B,CLINICAL|SUPERVISOR,Drafted,,,,2026-05-01,
M13,OASIS Documentation and Accuracy,B,CLINICAL,Drafted,,,,2026-05-01,
M14,Plan of Care and Physician Orders (CMS-485),B,CLINICAL|SUPERVISOR,Drafted,,,,2026-05-01,
M15,Clinical Documentation Standards and Legal Risk,B,CLINICAL,Drafted,,,,2026-05-01,
M16,Skilled Services and Medical Necessity,B,CLINICAL|SUPERVISOR,Drafted,,,,2026-05-01,
M17,Care Coordination and Communication,B,CLINICAL|ADMIN,Drafted,,,,2026-05-01,
M18,Infection Control (Clinical Practice),B,CLINICAL,Drafted,,,,2026-05-01,
M19,QAPI Program Fundamentals,C,ALL,Drafted,,,,2026-05-01,
M20,Incident Review and Root Cause Analysis,C,SUPERVISOR|COMPLIANCE,Drafted,,,,2026-05-01,
M21,Performance Improvement Plans (PIP),C,SUPERVISOR|COMPLIANCE,Drafted,,,,2026-05-01,
M22,Audit Readiness and Survey Preparation,C,SUPERVISOR|COMPLIANCE|LEADERSHIP,Drafted,,,,2026-05-01,
M23,Data Tracking Metrics and Reporting,C,COMPLIANCE|SUPERVISOR,Drafted,,,,2026-05-01,
M24,Workplace Safety Program (IIPP Overview),D,ALL,Drafted,,,,2026-05-01,
M25,Workplace Violence Prevention (SB 553),D,ALL,Drafted,,,,2026-05-01,
M26,Bloodborne Pathogens,D,ALL,Drafted,,,,2026-05-01,
M27,Aerosol Transmissible Diseases (ATD),D,CLINICAL,Drafted,,,,2026-05-01,
M28,PPE and Standard Precautions,D,ALL,Drafted,,,,2026-05-01,
M29,Hazard Communication (HazCom and SDS),D,ALL,Drafted,,,,2026-05-01,
M30,Ergonomics and Safe Patient Handling,D,CLINICAL,Drafted,,,,2026-05-01,
M31,Heat Illness and Field Safety,D,ALL,Drafted,,,,2026-05-01,
M32,TB Screening and Occupational Health,E,CLINICAL,Drafted,,,,2026-05-01,
M33,Exposure Response and Post-Exposure Protocol,E,ALL,Drafted,,,,2026-05-01,
M34,Vaccination and Clearance Requirements,E,CLINICAL,Drafted,,,,2026-05-01,
M35,Fitness for Duty and Return-to-Work,E,ALL,Drafted,,,,2026-05-01,
M36,Workflow System and Task Execution,F,ALL,Drafted,,,,2026-05-01,
M37,Evidence Collection and Documentation Standards,F,ALL,Drafted,,,,2026-05-01,
M38,Audit Trail Logging and Compliance Proof,F,SUPERVISOR|COMPLIANCE,Drafted,,,,2026-05-01,
M39,Policy Acknowledgment and LMS Requirements,F,ALL,Drafted,,,,2026-05-01,
M40,Event-Based Compliance (QAPI Audit Scheduling),F,SUPERVISOR|COMPLIANCE,Drafted,,,,2026-05-01,
