"Scene_ID","Module","Slide_Type","Scene_Title","Narration_Text","TTS_Pacing_s","Estimated_Card_Duration","Status"
"M01-PA-INTRO","M01","pre-assessment-intro","Pre-Assessment: Before the Journey Begins","Before Tess boards her flight from Manila, we pause. The house is quiet. Her bags are packed. Her lola's bracelet is on her wrist. This is your pre-assessment checkpoint. Three questions — drawn from the real situations Tess is about to walk into. They test what you already know about cultural competence, language access, and patient rights in home health. There are no penalties here. Answer honestly. Your responses calibrate the journey ahead. Ready? Let us begin.","55","58","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-Q1","M01","pre-assessment-challenge","Pre-Assessment Question 1: Comprehension Signals","Question one. During a home visit in Quezon City, Tess is teaching an elderly patient how to manage her medications. After each instruction, the patient nods and says yes. Tess pauses. What does this most likely tell her? Option A: The patient understood each instruction completely. Option B: The patient is being respectful and attentive — but comprehension has not been verified. Option C: The teaching session is complete and documentation can reflect successful education. Option D: A family member can confirm understanding at the next visit. Choose the answer that best reflects safe clinical practice.","52","55","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-D1","M01","pre-assessment-debrief","Pre-Assessment Debrief 1: The Nod Is Not Enough","Operational Case Review
1) Correct decision: Option B is correct because it preserves patient safety and workflow integrity under pressure.
2) Why correct: The patient is being respectful and attentive — but comprehension has not been verified.
3) Incorrect option analysis:
- Option A risk: The patient understood each instruction completely.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option C risk: The teaching session is complete and documentation can reflect successful education.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option D risk: A family member can confirm understanding at the next visit.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
4) Patient safety implications: uncontrolled communication barriers or delayed escalation can compound into harm.
5) Workflow implications: sequence matters; right actions in the wrong order still produce risk.
6) Documentation implications: chart objective findings, what was verified, what was escalated, and who received handoff.
7) Escalation implications: trigger supervisor pathway when unresolved clinical, communication, or conduct risk remains.
8) Survey implications: ACHC/CMS reviewers focus on evidence chain, not intent.
9) Operational consequences: unresolved gaps can lead to adverse events, corrective action, and loss of trust.
10) Disciplinary/legal/defensibility: omissions and unsupported charting increase disciplinary risk and weaken legal defense.

The correct answer is B. In many cultures — including Filipino, Asian, and Latin American communities — nodding and saying yes during instruction is a gesture of respect and attentiveness, not a signal of comprehension. If you selected A or C, this module will show you exactly why assumed understanding is one of the most common pathways to patient harm in home health. If you selected D, family confirmation is not a substitute for verified comprehension at the point of teaching. If you selected B, you already think like a clinician who closes the gap between what was said and what was understood. That gap is where medication errors, missed symptoms, and safety failures live. Throughout this module, you will see Tess practice the correct alternative: teach-back, with documented results.","95","98","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-Q2","M01","pre-assessment-challenge","Pre-Assessment Question 2: Interpreter Services","Question two. Tess is preparing for a home visit where the patient speaks limited English. The patient's adult son meets her at the door and offers to interpret for his mother. The teaching session today covers insulin injection technique and dosage. What is the most appropriate response? Option A: Accept the offer — family interpretation is faster and more personal. Option B: Accept — the patient nodded agreement when asked. Option C: Thank the son for offering and explain that a qualified interpreter will be requested for clinical teaching. Option D: Proceed with teaching and note in the chart that a family member assisted with interpretation. Choose the option that reflects safe practice and agency policy.","55","58","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-D2","M01","pre-assessment-debrief","Pre-Assessment Debrief 2: Family Is Not a Qualified Interpreter","Operational Case Review
1) Correct decision: Option C is correct because it preserves patient safety and workflow integrity under pressure.
2) Why correct: Thank the son and explain that a qualified interpreter will be requested for clinical teaching.
3) Incorrect option analysis:
- Option A risk: Accept the offer — family interpretation is faster and more personal for the patient.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option B risk: Accept — the patient nodded agreement when asked.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option D risk: Proceed with teaching and note in the chart that a family member assisted with interpretation.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
4) Patient safety implications: uncontrolled communication barriers or delayed escalation can compound into harm.
5) Workflow implications: sequence matters; right actions in the wrong order still produce risk.
6) Documentation implications: chart objective findings, what was verified, what was escalated, and who received handoff.
7) Escalation implications: trigger supervisor pathway when unresolved clinical, communication, or conduct risk remains.
8) Survey implications: ACHC/CMS reviewers focus on evidence chain, not intent.
9) Operational consequences: unresolved gaps can lead to adverse events, corrective action, and loss of trust.
10) Disciplinary/legal/defensibility: omissions and unsupported charting increase disciplinary risk and weaken legal defense.

The correct answer is C. CLAS Standards and agency policy require a qualified interpreter for clinical decision-making and education — not because the son is untrustworthy, but because medical interpretation requires specific training that most family members do not have. Family members may simplify instructions to protect the patient, introduce errors in medical terminology, withhold distressing information, or be placed in an emotionally impossible position between provider and loved one. If you selected A, B, or D, this module will walk you through the full interpreter activation workflow — including what to say to families who offer to help, when to activate the service, and what to document afterward. Insulin administration is high-stakes. An incorrect dose taught through an unqualified interpreter is a preventable adverse event with documentation consequences.","95","98","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-Q3","M01","pre-assessment-challenge","Pre-Assessment Question 3: Rights and Accommodation","Question three. Tess arrives at a patient's home for a scheduled wound care visit. The patient's family tells her that their religious beliefs require gender-concordant care — the patient cannot be treated by a provider of the opposite gender. Tess notices the wound dressing appears soiled and the wound may be deteriorating. She is the only clinician available in the area within the next two hours. What is the most defensible response? Option A: Explain respectfully that clinical urgency takes priority over accommodation requests in situations like this. Option B: Acknowledge the request, assess the wound urgency immediately, contact your supervisor for accommodation options, and document the preference and your clinical findings. Option C: Ask the patient to sign a temporary waiver so care can proceed. Option D: Leave the home and schedule a callback for when an appropriate clinician is available, without assessing the wound. Choose the option you believe is most defensible.","60","63","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-D3","M01","pre-assessment-debrief","Pre-Assessment Debrief 3: Rights and Urgency Travel Together","Operational Case Review
1) Correct decision: Option B is correct because it preserves patient safety and workflow integrity under pressure.
2) Why correct: Acknowledge the request, assess wound urgency immediately, contact your supervisor for accommodation options, and document both.
3) Incorrect option analysis:
- Option A risk: Explain respectfully that clinical urgency takes priority over accommodation requests in this situation.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option C risk: Ask the patient to sign a temporary waiver so care can proceed.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option D risk: Leave the home and schedule a callback for when an appropriate clinician is available — without assessing the wound.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
4) Patient safety implications: uncontrolled communication barriers or delayed escalation can compound into harm.
5) Workflow implications: sequence matters; right actions in the wrong order still produce risk.
6) Documentation implications: chart objective findings, what was verified, what was escalated, and who received handoff.
7) Escalation implications: trigger supervisor pathway when unresolved clinical, communication, or conduct risk remains.
8) Survey implications: ACHC/CMS reviewers focus on evidence chain, not intent.
9) Operational consequences: unresolved gaps can lead to adverse events, corrective action, and loss of trust.
10) Disciplinary/legal/defensibility: omissions and unsupported charting increase disciplinary risk and weaken legal defense.

The correct answer is B. Patient rights and dignity are not suspended when clinical urgency is present. The defensible response holds both obligations simultaneously — you do not choose one and abandon the other. You acknowledge the accommodation request. You assess clinical urgency immediately at the bedside. You escalate to your supervisor for accommodation routing. You document the preference, your clinical findings, and the plan. Option A is wrong because it unilaterally overrides a legitimate right without attempting an accommodation process — this creates survey exposure and trust rupture. Option C is wrong because a waiver form before a clinical urgency assessment inverts the correct sequence. Option D abandons the patient at the moment of highest clinical risk with no urgency finding on record. If you selected B, you already understand the principle this module will reinforce through Tess' story. If you selected anything else, you will see exactly how this decision plays out — and why the correct sequence matters — when Tess faces it for the first time at Mr. Henderson's door.","95","98","NEEDS REVIEW — LTX/Detail missing"
"M01-S01","M01","content","Before Sunrise in Quezon City","It is 4:45 in the morning in Quezon City. Tess is already awake. This is not unusual. In the Philippines, the day begins before the sun does. She can hear her mother moving in the kitchen — rice cooker clicking, garlic hitting oil — the sounds of a family that has always started early and worked hard. She folds her scrub top, smooths out the sleeve, and lays it across her nursing bag. On the bag's outer pocket is a small photo: her grandmother standing in front of a mango tree after Sunday Mass. Tess touches it before she does anything else. She is not a new nurse. She has managed post-surgical wounds, administered intravenous medications, and handled difficult family conversations at three in the morning. What is new is the country she is about to work in — and she knows that professional competence and system fluency are two different things.","72","75","NEEDS REVIEW — LTX/Detail missing"
"M01-S02","M01","content","The Mano Po Moment","Her lola — her grandmother — sits at the table already dressed for six o'clock Mass. When Tess enters the kitchen, she bows slightly and takes her grandmother's hand, pressing the back of it gently to her forehead. Mano po, Lola. Her grandmother closes her eyes for a moment, then places her hand on Tess' head in blessing. This is Mano Po — a greeting and a gesture of deep respect that Tess has performed every morning since she was four years old. It is not ceremony. It is how she begins every day: by honoring the person who taught her that other people's dignity is not optional. Her grandmother says quietly: Take care of them the way I know you do. This daily ritual is not separate from Tess' clinical practice. She does not have to be taught to slow down, to soften her language, or to make eye contact without condescension — it is already the grammar of her days.","80","83","NEEDS REVIEW — LTX/Detail missing"
"M01-S03","M01","content","Family Breakfast and Bayanihan","Breakfast is loud and crowded. Her kuya has already stopped by before his hospital shift. Her tita from next door brought bibingka. Two cousins are arguing about basketball. Nobody was called. Everyone just came. Tess' grandmother grew up in a barangay where Bayanihan was not a concept — it was a physical event. When a family needed to move their bahay kubo — their bamboo home raised on stilts — the entire village would gather unannounced, crouch beneath the structure together, and carry the whole house to its new location on their collective shoulders. Fifteen, twenty men. No one appointed, no one paid. Lifting and moving because the need was visible and the community was the response. When it was done, the family prepared food. That was the entire exchange. Today we carry yours. Tomorrow you carry ours. That is Bayanihan. Not a feeling. A physical act. A village that can lift a house when one family cannot. Tess sits down and her plate is filled before she asks. Her mother says: Kumain ka na — eat now — meaning: you take care of everyone else, so let us take care of you. Nobody cries when the conversation turns to departure. They problem-solve. Her kuya: Keep a printed copy of your license. Do not trust only digital. Her tita: Call us Sundays, we will all be home. Her mother: Eat rice. Even over there. In U.S. healthcare workplaces, Bayanihan instinct can create friction. Unsolicited help across role boundaries can be received as overstepping or scope confusion. Tess will need to translate this instinct — offer support through sanctioned channels, coordinate rather than self-deploy. The spirit stays. The execution adapts.","88","91","NEEDS REVIEW — LTX/Detail missing"
