section_id,section_title,policy_ids,form_ids,external_authorities,owner,employee_action
control,Document control & approval,EN-LC-001; GV-PM-001; GV-PM-002; GV-PM-003; EN-LC-003,EN-FM-001,CA-WKYR,HR / Compliance / Legal,
welcome,Welcome to Care Indeed,EN-CM-001; CO-CP-004; GV-OG-001,,,Executive Leadership / HR,
contacts,Who to contact and how to escalate,CO-CP-005; CO-CP-006; CO-CP-007; CO-IR-101; OP-SL-002; RM-ER-002; HR-ER-003,,,HR / Compliance / Operations,
how-to-use,How this handbook works,EN-TG-001; EN-TG-002; EN-LC-001; EN-LC-003; HR-TA-006,,,HR / Policy Management,
at-will,At-will employment and no-contract statement,HR-ER-002; HR-ER-006; GV-PM-003,EN-FM-001,,HR,
eeo,"Equal employment opportunity, accommodations, and respectful work",HR-ER-004; HR-WM-003; HR-EH-101; HR-TA-001,HR-FM-042; HR-FM-041,CA-CRD,HR,
harassment,"Harassment prevention, complaint channels, and non-retaliation",HR-ER-004; HR-ER-003; CO-CP-005; CO-CP-006; CO-CP-007,HR-FM-010; HR-FM-029; HR-FM-046,CA-HAR; CA-CRD,HR / Compliance,
protected-rights,"Protected reporting, whistleblowing, and concerted activity",CO-CP-005; CO-CP-006; CO-CP-007; IT-UP-003; CO-HP-001,,FED-NLRA; CA-WKYR,Compliance / HR,
notices,"Required notices, workplace postings, and access to rights information",EN-CM-001; CO-CP-005; HR-ER-004; HR-WM-003; HR-WM-004; RM-OS-001,,CA-WKYR; CA-PSL; CA-WVPP; CA-LACT,HR / Compliance / Safety,
recruitment,"Recruitment, conditional offers, background checks, and Fair Chance",HR-TA-001; HR-TA-002; HR-TA-006,HR-FM-003; HR-FM-004; HR-FM-018; HR-FM-031,CA-FCA,HR,
i9,Work authorization and Form I-9,HR-TA-001,,FED-I9; CA-WKYR,HR,
screening-credentials,"OIG/SAM screening, licenses, certifications, and eligibility",HR-TA-003; HR-TA-004; HR-WM-007; CO-CP-001,HR-FM-005; HR-FM-006,FED-OIG,HR / Compliance / DON,
classification,"Employment classification, role, and wage-order coverage",HR-TA-006; HR-WM-001; HR-WM-002,,,HR / Payroll / Legal,
pay,"Pay, wage statements, minimum wage, and final pay",HR-WM-001; HR-ER-006,,CA-MW; CA-HCW; CA-PAY,Payroll / HR,
timekeeping,"Timekeeping, all hours worked, and off-the-clock work",HR-WM-001; OP-SL-001; OP-SL-005; CL-CD-004,HR-FM-019,CA-OT; CA-WO15,Payroll / Operations,
overtime,"Overtime, workday, workweek, and schedule controls",HR-WM-001,,CA-OT,Payroll / HR / Legal,
breaks,"Meal periods, rest periods, lactation, and heat safety",HR-WM-001; HR-EH-101; RM-OS-004; RM-SS-001,,CA-MEAL; CA-WO15; CA-LACT,Operations / HR / Safety,
expenses,"Expense reimbursement, mileage, travel, phones, and supplies",HR-WM-001; OP-SL-003; RM-SS-003,HR-FM-027,CA-REIMB,Payroll / Operations,
attendance,"Attendance, call-off, missed shifts, and continuity of care",HR-WM-001; OP-SL-001; OP-SL-002; CL-SD-024; CL-CP-005,HR-FM-019,,Operations / Supervisor / HR,
sick-leave,Paid sick leave,HR-WM-003; HR-WM-001,,CA-PSL,HR / Payroll,
leave-overview,Leave of absence — overview and request process,HR-WM-003; HR-EH-101; HR-ER-003,HR-FM-040; HR-FM-041; HR-FM-042,CA-CRD,HR,
family-medical,"FMLA, CFRA, Pregnancy Disability Leave, and reasonable accommodation",HR-WM-003; HR-EH-101; HR-ER-004,HR-FM-040; HR-FM-041; HR-FM-042; HR-FM-044; HR-FM-045,CA-CRD,HR,
di-pfl,California Disability Insurance and Paid Family Leave,HR-WM-003,HR-FM-040,CA-PFL,HR / Payroll,
other-leaves,"Bereavement, reproductive loss, violence-related, and other protected leave",HR-ER-003; HR-ER-004; HR-WM-003,HR-FM-040,CA-CRD,HR,
benefits,"Benefits, holidays, retirement, and plan documents",HR-WM-001; HR-ER-006,HR-FM-057,,HR / Benefits / Payroll,
performance,"30/60/90-day check-ins, performance evaluation, and development",HR-ER-001; HR-TA-005; HR-TD-003,HR-FM-008; HR-FM-016,,Supervisor / HR / Clinical Leader,
