"shot_id","order_number","shot_name","colour_scheme","scene_context","dialogue","lora_1","lora_2","lora_3","ref_image_1","ref_image_2","ref_image_3","video_file","audio_vo","positive_image","negative_image","positive_video","negative_video","row_index","info"
"M01-PA-INTRO","1","Pa Intro","warm documentary realism, soft incandescent evening light, golden-orange parol lantern glow, quiet contemplative mood, 35mm lens, film grain","Tess's modest Filipino living room (sala) in Manila, evening before departure. Seated at small wooden dining table, packed duffel bag leaning against table leg, navy scrubs folded nearby, lola's woven thread bracelet visible on left wrist, glowing star-shaped parol lantern and family photos on wall, glass of water on table, pensive composed inward expression","","","","","","","","","","Photorealistic documentary-style home health training image. Tess's modest Filipino living room (sala) in Manila, evening before departure. Seated at small wooden dining table, packed duffel bag leaning against table leg, navy scrubs folded nearby, lola's woven thread bracelet visible on left wrist, glowing star-shaped parol lantern and family photos on wall, glass of water on table, pensive composed inward expression. Visual palette and lighting: warm documentary realism, soft incandescent evening light, golden-orange parol lantern glow, quiet contemplative mood, 35mm lens, film grain. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","1","pre-assessment"
"M01-PA-Q1","2","Pa Q1","warm natural daylight through thin curtains, soft documentary realism, intimate Philippine home bedroom, 35mm lens","Modest Philippine home bedroom. Tess standing beside elderly female patient's bed teaching medication management, patient nodding politely, medication blister pack and glass of water on bedside table, Tess holding notepad, woven bracelet visible on left wrist","","","","","","","","","","Photorealistic documentary-style home health training image. Modest Philippine home bedroom. Tess standing beside elderly female patient's bed teaching medication management, patient nodding politely, medication blister pack and glass of water on bedside table, Tess holding notepad, woven bracelet visible on left wrist. Visual palette and lighting: warm natural daylight through thin curtains, soft documentary realism, intimate Philippine home bedroom, 35mm lens. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","2","pre-assessment-challenge"
"M01-PA-D1","3","Pa D1","cool fluorescent overhead lighting, professional clinical documentary style, agency hallway","Agency nursing station hallway under fluorescent lights. Tess standing attentively as charge nurse points to flagged chart entry, professional correction moment, bulletin board in background","","","","","","","","","","Photorealistic documentary-style home health training image. Agency nursing station hallway under fluorescent lights. Tess standing attentively as charge nurse points to flagged chart entry, professional correction moment, bulletin board in background. Visual palette and lighting: cool fluorescent overhead lighting, professional clinical documentary style, agency hallway. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","3","pre-assessment-debrief"
"M01-PA-Q2","4","Pa Q2","natural exterior morning light, slightly overcast, realistic documentary daylight","Exterior suburban residential home front porch, morning. Tess in navy scrubs at open door with nursing bag and tablet, adult son offering to interpret, bracelet visible on left wrist","","","","","","","","","","Photorealistic documentary-style home health training image. Exterior suburban residential home front porch, morning. Tess in navy scrubs at open door with nursing bag and tablet, adult son offering to interpret, bracelet visible on left wrist. Visual palette and lighting: natural exterior morning light, slightly overcast, realistic documentary daylight. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","4","pre-assessment-challenge"
"M01-PA-D2","5","Pa D2","cool clinical overhead lighting, sterile urgent care documentary tones","Urgent care intake room. Elderly Asian woman on exam table with adult son, medical assistant taking blood pressure — downstream consequence scene","","","","","","","","","","Photorealistic documentary-style home health training image. Urgent care intake room. Elderly Asian woman on exam table with adult son, medical assistant taking blood pressure — downstream consequence scene. Visual palette and lighting: cool clinical overhead lighting, sterile urgent care documentary tones. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","5","pre-assessment-debrief"
"M01-PA-Q3","6","Pa Q3","natural daylight through window, warm afternoon tones, modest home interior documentary","Modest home living room converted for care. Elderly male patient in hospital bed with soiled wound dressing, adult daughter blocking path, Tess at doorway assessing urgency, bracelet visible","","","","","","","","","","Photorealistic documentary-style home health training image. Modest home living room converted for care. Elderly male patient in hospital bed with soiled wound dressing, adult daughter blocking path, Tess at doorway assessing urgency, bracelet visible. Visual palette and lighting: natural daylight through window, warm afternoon tones, modest home interior documentary. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","6","pre-assessment-challenge"
"M01-PA-D3","7","Pa D3","natural morning daylight, residential exterior documentary realism","Exterior front walkway of patient's home. Tess on phone escalating to supervisor, chart open in hand, bracelet visible","","","","","","","","","","Photorealistic documentary-style home health training image. Exterior front walkway of patient's home. Tess on phone escalating to supervisor, chart open in hand, bracelet visible. Visual palette and lighting: natural morning daylight, residential exterior documentary realism. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","7","pre-assessment-debrief"
"M01-S01","8","S01","pre-dawn warm incandescent + cool blue morning light mix, intimate domestic documentary style, 35mm lens, film grain","Pre-dawn modest Filipino kitchen and bedroom in Quezon City. Tess folding navy scrubs, nursing bag with lola photo, rice cooker steaming, quiet focused preparation, bracelet visible","","","","","","","","","","Photorealistic documentary-style home health training image. Pre-dawn modest Filipino kitchen and bedroom in Quezon City. Tess folding navy scrubs, nursing bag with lola photo, rice cooker steaming, quiet focused preparation, bracelet visible. Visual palette and lighting: pre-dawn warm incandescent + cool blue morning light mix, intimate domestic documentary style, 35mm lens, film grain. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","8","content"
"M01-S02","9","S02","warm morning kitchen light, soft domestic documentary realism","Modest Filipino kitchen. Tess performing Mano Po greeting with lola at breakfast table, deep respect and blessing moment, bracelet visible","","","","","","","","","","Photorealistic documentary-style home health training image. Modest Filipino kitchen. Tess performing Mano Po greeting with lola at breakfast table, deep respect and blessing moment, bracelet visible. Visual palette and lighting: warm morning kitchen light, soft domestic documentary realism. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","9","content"
"M01-S03","10","S03","warm natural daylight, modest Philippine home interior, documentary style","Mr. Henderson’s modest American home living room. Tess arriving for first visit, elderly Caucasian man with walker at door, cautious first interaction","","","","","","","","","","Photorealistic documentary-style home health training image. Mr. Henderson’s modest American home living room. Tess arriving for first visit, elderly Caucasian man with walker at door, cautious first interaction. Visual palette and lighting: warm natural daylight, modest Philippine home interior, documentary style. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","10","content"
"M01-S04","11","S04","soft natural window light, clinical documentary realism, home care bedroom","Mr. Henderson’s bedroom. Tess performing wound care assessment, elderly patient in hospital bed, professional focused interaction, bracelet visible","","","","","","","","","","Photorealistic documentary-style home health training image. Mr. Henderson’s bedroom. Tess performing wound care assessment, elderly patient in hospital bed, professional focused interaction, bracelet visible. Visual palette and lighting: soft natural window light, clinical documentary realism, home care bedroom. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","11","content"
"M01-S05","12","S05","warm afternoon home lighting, intimate documentary style","Mr. Henderson’s living room. Tess explaining care plan at kitchen table, building rapport, bracelet visible","","","","","","","","","","Photorealistic documentary-style home health training image. Mr. Henderson’s living room. Tess explaining care plan at kitchen table, building rapport, bracelet visible. Visual palette and lighting: warm afternoon home lighting, intimate documentary style. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","12","content"
"M01-S06","13","S06","natural daylight, clinical home setting documentary","Mr. Henderson’s home. Tess teaching wound care and medication, patient listening attentively","","","","","","","","","","Photorealistic documentary-style home health training image. Mr. Henderson’s home. Tess teaching wound care and medication, patient listening attentively. Visual palette and lighting: natural daylight, clinical home setting documentary. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","13","content"
"M01-S07","14","S07","warm evening home light, documentary realism","Mr. Henderson’s living room. Tess wrapping up visit, reviewing next steps with patient","","","","","","","","","","Photorealistic documentary-style home health training image. Mr. Henderson’s living room. Tess wrapping up visit, reviewing next steps with patient. Visual palette and lighting: warm evening home light, documentary realism. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","14","content"
"M01-S08","15","S08","bright clinical agency lighting, professional documentary style","Home health agency nursing station. Tess at workstation reviewing patient charts pre-shift","","","","","","","","","","Photorealistic documentary-style home health training image. Home health agency nursing station. Tess at workstation reviewing patient charts pre-shift. Visual palette and lighting: bright clinical agency lighting, professional documentary style. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","15","content"
"M01-S09","16","S09","warm natural daylight, modest home interior","Second patient’s modest kitchen. Tess conducting initial assessment with elderly East Asian patient and daughter","","","","","","","","","","Photorealistic documentary-style home health training image. Second patient’s modest kitchen. Tess conducting initial assessment with elderly East Asian patient and daughter. Visual palette and lighting: warm natural daylight, modest home interior. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","16","content"
"M01-S10","17","S10","natural kitchen daylight, documentary realism","Second patient’s kitchen table. Tess using teach-back method during insulin instruction, bracelet visible","","","","","","","","","","Photorealistic documentary-style home health training image. Second patient’s kitchen table. Tess using teach-back method during insulin instruction, bracelet visible. Visual palette and lighting: natural kitchen daylight, documentary realism. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","17","content"
"M01-S11","18","S11","warm natural home lighting, clinical documentary","Third patient’s bedroom. Tess addressing gender-concordant care request with family, professional and respectful","","","","","","","","","","Photorealistic documentary-style home health training image. Third patient’s bedroom. Tess addressing gender-concordant care request with family, professional and respectful. Visual palette and lighting: warm natural home lighting, clinical documentary. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","18","content"
"M01-S12","19","S12","warm afternoon bedroom light, documentary style","Third patient’s bedroom. Tess performing wound care after proper consent and accommodation, bracelet visible","","","","","","","","","","Photorealistic documentary-style home health training image. Third patient’s bedroom. Tess performing wound care after proper consent and accommodation, bracelet visible. Visual palette and lighting: warm afternoon bedroom light, documentary style. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","19","content"
"M01-S13","20","S13","cool fluorescent agency lighting, professional documentary","Agency nursing station. Tess documenting visits and escalating concerns to supervisor","","","","","","","","","","Photorealistic documentary-style home health training image. Agency nursing station. Tess documenting visits and escalating concerns to supervisor. Visual palette and lighting: cool fluorescent agency lighting, professional documentary. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","20","content"
"M01-S14","21","S14","warm golden late afternoon light, residential exterior documentary","Mr. Henderson’s front porch. Tess leaving after successful visit, patient showing gratitude, bracelet catching golden light","","","","","","","","","","Photorealistic documentary-style home health training image. Mr. Henderson’s front porch. Tess leaving after successful visit, patient showing gratitude, bracelet catching golden light. Visual palette and lighting: warm golden late afternoon light, residential exterior documentary. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","21","content"
"M01-S15","22","S15","pre-dawn warm + cool blue light, intimate documentary","Filipino kitchen at 4:45 AM. Tess preparing for the day, rice cooker and garlic sounds, reflective moment","","","","","","","","","","Photorealistic documentary-style home health training image. Filipino kitchen at 4:45 AM. Tess preparing for the day, rice cooker and garlic sounds, reflective moment. Visual palette and lighting: pre-dawn warm + cool blue light, intimate documentary. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","22","content"
"M01-S16","23","S16","warm morning kitchen light, emotional documentary realism","Tess performing Mano Po with lola, moment of blessing and guidance","","","","","","","","","","Photorealistic documentary-style home health training image. Tess performing Mano Po with lola, moment of blessing and guidance. Visual palette and lighting: warm morning kitchen light, emotional documentary realism. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","","","","23","content"
