"shot_id","order_number","shot_name","colour_scheme","scene_context","dialogue","lora_1","lora_2","lora_3","ref_image_1","ref_image_2","ref_image_3","video_file","audio_vo","positive_image","negative_image","positive_video","negative_video","row_index","info"
"M01-PA-INTRO","1","Pa Intro","warm documentary realism, soft incandescent evening light, golden-orange parol lantern glow, quiet contemplative mood, 35mm lens, film grain","Tess's modest Filipino living room (sala) in Manila, evening before departure. Seated at small wooden dining table, packed duffel bag leaning against table leg, navy scrubs folded nearby, lola's woven thread bracelet visible on left wrist, glowing star-shaped parol lantern and family photos on wall, glass of water on table, pensive composed inward expression","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Tess's modest Filipino living room (sala) in Manila, evening before departure. Seated at small wooden dining table, packed duffel bag leaning against table leg, navy scrubs folded nearby, lola's woven thread bracelet visible on left wrist, glowing star-shaped parol lantern and family photos on wall, glass of water on table, pensive composed inward expression. Visual palette and lighting: warm documentary realism, soft incandescent evening light, golden-orange parol lantern glow, quiet contemplative mood, 35mm lens, film grain. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","1","pre-assessment"
"M01-PA-Q1","2","Pa Q1","warm natural daylight through thin curtains, soft documentary realism, intimate Philippine home bedroom, 35mm lens","Modest Philippine home bedroom. Tess standing beside elderly female patient's bed teaching medication management, patient nodding politely, medication blister pack and glass of water on bedside table, Tess holding notepad, woven bracelet visible on left wrist","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Modest Philippine home bedroom. Tess standing beside elderly female patient's bed teaching medication management, patient nodding politely, medication blister pack and glass of water on bedside table, Tess holding notepad, woven bracelet visible on left wrist. Visual palette and lighting: warm natural daylight through thin curtains, soft documentary realism, intimate Philippine home bedroom, 35mm lens. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","2","pre-assessment-challenge"
"M01-PA-D1","3","Pa D1","cool fluorescent overhead lighting, professional clinical documentary style, agency hallway","Agency nursing station hallway under fluorescent lights. Tess standing attentively as charge nurse points to flagged chart entry, professional correction moment, bulletin board in background","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Agency nursing station hallway under fluorescent lights. Tess standing attentively as charge nurse points to flagged chart entry, professional correction moment, bulletin board in background. Visual palette and lighting: cool fluorescent overhead lighting, professional clinical documentary style, agency hallway. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","3","pre-assessment-debrief"
"M01-PA-Q2","4","Pa Q2","natural exterior morning light, slightly overcast, realistic documentary daylight","Exterior suburban residential home front porch, morning. Tess in navy scrubs at open door with nursing bag and tablet, adult son offering to interpret, bracelet visible on left wrist","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Exterior suburban residential home front porch, morning. Tess in navy scrubs at open door with nursing bag and tablet, adult son offering to interpret, bracelet visible on left wrist. Visual palette and lighting: natural exterior morning light, slightly overcast, realistic documentary daylight. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","4","pre-assessment-challenge"
"M01-PA-D2","5","Pa D2","cool clinical overhead lighting, sterile urgent care documentary tones","Urgent care intake room. Elderly Asian woman on exam table with adult son, medical assistant taking blood pressure — downstream consequence scene","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Urgent care intake room. Elderly Asian woman on exam table with adult son, medical assistant taking blood pressure — downstream consequence scene. Visual palette and lighting: cool clinical overhead lighting, sterile urgent care documentary tones. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","5","pre-assessment-debrief"
"M01-PA-Q3","6","Pa Q3","natural daylight through window, warm afternoon tones, modest home interior documentary","Modest home living room converted for care. Elderly male patient in hospital bed with soiled wound dressing, adult daughter blocking path, Tess at doorway assessing urgency, bracelet visible","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Modest home living room converted for care. Elderly male patient in hospital bed with soiled wound dressing, adult daughter blocking path, Tess at doorway assessing urgency, bracelet visible. Visual palette and lighting: natural daylight through window, warm afternoon tones, modest home interior documentary. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","6","pre-assessment-challenge"
"M01-PA-D3","7","Pa D3","natural morning daylight, residential exterior documentary realism","Exterior front walkway of patient's home. Tess on phone escalating to supervisor, chart open in hand, bracelet visible","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Exterior front walkway of patient's home. Tess on phone escalating to supervisor, chart open in hand, bracelet visible. Visual palette and lighting: natural morning daylight, residential exterior documentary realism. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","7","pre-assessment-debrief"
"M01-S01","8","S01","pre-dawn warm incandescent + cool blue morning light mix, intimate domestic documentary style, 35mm lens, film grain","Pre-dawn modest Filipino kitchen and bedroom in Quezon City. Tess folding navy scrubs, nursing bag with lola photo, rice cooker steaming, quiet focused preparation, bracelet visible","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Pre-dawn modest Filipino kitchen and bedroom in Quezon City. Tess folding navy scrubs, nursing bag with lola photo, rice cooker steaming, quiet focused preparation, bracelet visible. Visual palette and lighting: pre-dawn warm incandescent + cool blue morning light mix, intimate domestic documentary style, 35mm lens, film grain. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","8","content"
"M01-S02","9","S02","warm morning kitchen light, soft domestic documentary realism","Modest Filipino kitchen. Tess performing Mano Po greeting with lola at breakfast table, deep respect and blessing moment, bracelet visible","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Modest Filipino kitchen. Tess performing Mano Po greeting with lola at breakfast table, deep respect and blessing moment, bracelet visible. Visual palette and lighting: warm morning kitchen light, soft domestic documentary realism. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","9","content"
"M01-S03","10","S03","warm natural daylight, modest Philippine home interior, documentary style","Mr. Henderson’s modest American home living room. Tess arriving for first visit, elderly Caucasian man with walker at door, cautious first interaction","","","","","Tessfront.png","tessleftside.png","Tessrightside.png","","","Photorealistic documentary-style home health training image. Mr. Henderson’s modest American home living room. Tess arriving for first visit, elderly Caucasian man with walker at door, cautious first interaction. Visual palette and lighting: warm natural daylight, modest Philippine home interior, documentary style. Professional caregiver behavior, realistic modest home environment, emotionally grounded, natural body language, clear subject visibility, no staged stock-photo look.","cartoon, anime, illustration, CGI, fantasy, horror, gore, graphic wound, blood, emergency room, hospital setting, clinic setting, nursing home setting, facility hallway, police, weapon, disaster, chaotic emergency, exaggerated drama, unsafe clinical care, improper PPE, mask covering main character face, patient distress, restraint, unprofessional caregiver, dirty scrubs, messy hair, cluttered unsafe home, hoarding, luxury home, staged stock photo, corporate ad, smiling at camera, posed portrait, direct camera stare, selfie angle, bad anatomy, deformed hands, extra fingers, missing fingers, distorted face, inconsistent face, different character identity, duplicate nurse, blurry, motion blur, low resolution, overexposed, underexposed, harsh shadows, unreadable text, random text, watermark, logo, signature, UI elements","","","10","content"
