"Scene_ID","Act","Slide_Number","Scene_Title","Location","Narration_Text","TTS_Pacing_s","Emotion_Tone","Transition_In","Transition_Out","FLUX_Image_Prompt","PuLID_Character_Guidance","Negative_Prompt","Camera_Framing","ACHC_Topic","Policy_Reference","Learning_Objective_ID","Compliance_Category","Operational_Workflow","Assessment_Linkage","Debrief_Linkage","Scenario_Type","Risk_Category","Escalation_Path","Documentation_Requirement","Patient_Safety_Impact","Survey_Risk","Reconciliation_Status"
"M01-S01","Act 1","1","Morning in Quezon City","Quezon City family kitchen","Before sunrise in Quezon City, Marites folds her scrub top while rice steams and radio news plays softly. She is already clinically experienced. What is new is the workflow environment she is preparing to enter, and she chooses to begin with calm, discipline, and purpose.","58","Grounded hopeful","Fade from black with ambient city audio","Soft cut to phone screen","Photorealistic healthcare documentary still of a Filipina nurse in navy scrubs standing near a compact car at dawn, hand on a woven bracelet, realistic skin texture, cinematic natural light, 35mm lens, shallow depth of field, subtle film grain.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet on left wrist, calm eyes, no glam makeup, consistent badge and stethoscope style.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, text watermark, oversaturated HDR, fantasy lighting","Medium wide, eye-level","Cultural awareness","ACHC CLAS Domain 1; Agency Cultural Competence Policy","LO1","Training Foundations","Pre-shift preparation and mindful communication setup","N/A","N/A","Narrative setup","Low","Routine supervisor availability","Start-of-shift readiness note","Improves communication reliability before first encounter","Low","Mapped"
"M01-S02","Act 1","2","Family Breakfast, Last Week Home","Family dining table in the Philippines","At breakfast, Marites' family talks about real nursing work: long shifts, careful charting, and patient dignity during hard days. This is where she learned that respect is not a soft add-on. It is part of safe care and must show up in behavior and documentation.","62","Tender resilient","Ambient interior audio","Cut to pronunciation notes","Photorealistic close shot of Filipina nurse in car listening to phone message while reviewing care notes, soft morning light through windshield, authentic documentary realism, 50mm lens, natural color science.","Maintain same Marites facial features, bracelet visible, same scrubs and badge, subdued expression that shifts from homesick to focused.","overly stylized bokeh hearts, glamour portrait, anime eyes, doll skin, surreal color cast","Close-up, over-shoulder inserts","Workforce inclusion","Agency Inclusion and Retention Guideline","LO5","Workforce Culture","Emotional regulation and role readiness","N/A","N/A","Narrative setup","Low","N/A","None","Supports empathic patient engagement","Low","Mapped"
"M01-S03","Act 1","3","Grandmother and the Bracelet","Grandmother's home, doorway scene","Her grandmother ties a woven bracelet on Marites' left wrist and tells her to breathe before answering when pressure rises. The bracelet becomes an emotional and professional anchor she will carry through stress, conflict, reflection, and eventual success.","66","Respectful focused","L-cut with her voice practicing names","Cut on action as she exits car","Photorealistic documentary image of nurse reviewing patient pronunciation notes and language preference field on tablet in parked car, natural daylight, crisp details, 35mm lens.","Marites continuity: bracelet left wrist, same hairstyle, same ID badge, practical posture.","cartoon UI, fake glossy skin, sci-fi dashboard, illegible random text","Over-shoulder medium","Respectful communication; Language access","CLAS Language Access Standard; Agency Interpreter Workflow","LO3","Communication","Verify language preference before encounter","Pre-Assessment setup","N/A","Operational prep","Moderate","Escalate to scheduler if language data missing","Document preferred language and interpreter need","Prevents communication errors at point of care","Moderate","Mapped"
"M01-S04","Act 1","4","Professional Legacy Scene","Community clinic in the Philippines","In a Philippine clinic, Marites uses teach-back during wound-care instruction and asks the patient to explain the steps in her own words. She already practices high standards. The lesson is clear: agreement words alone do not prove comprehension.","64","Warm professional","Hallway ambience","Cut to handoff room","Photorealistic scene of nurse assisting colleague with transfer checklist in clinic hallway, natural fluorescent-balanced lighting, documentary realism, 35mm lens.","Keep Marites visual identity fixed; secondary staff varied demographics; no hero glam.","melodramatic pose, action movie contrast, cartoon proportions","Two-shot medium","Team collaboration","Agency Team Collaboration SOP","LO5","Professional Conduct","Peer support and workflow accuracy","N/A","N/A","Narrative setup","Low","N/A","Optional collaborative note","Reduces workflow error propagation","Low","Mapped"
"M01-S05","Act 1","5","Departure Documents and Quiet Fear","Home table with immigration paperwork","Marites organizes visa paperwork, employment records, and clinical certifications. Her confidence and uncertainty sit side by side. She knows documentation quality is operational readiness, and missing records can damage continuity and delay safe onboarding.","72","Nervous competent","Cut to whiteboard","Cut to patient rights poster","Documentary still of multicultural clinical huddle with nurse taking concise notes, realistic office environment, soft overhead light, 35mm lens, true skin texture.","Marites remains identifiable by bracelet and badge placement; expression attentive not unsure.","stock-photo smiles, staged handshake, overprocessed skin","Wide to medium punch-in","Professionalism; Communication","Agency Handoff Protocol","LO3","Operational Communication","Closed-loop handoff confirmation","N/A","N/A","Operational scene","Moderate","Charge nurse escalation if ambiguity persists","Record clarified risk items in visit prep","Prevents omission of critical care details","Moderate","Mapped"
"M01-S06","Act 1","6","Airport Goodbye","Departure gate, Manila airport","At the gate, her family does not offer fantasy promises. They offer practical strength. Her grandmother taps the bracelet and reminds her: compassion first, then precision. Marites carries both as she leaves home.","54","Reflective","Static insert shot","Cut to Mr. Henderson doorway","Photorealistic close shot of multilingual patient rights and interpreter access posters in a home health office, realistic texture and lighting, documentary framing.","No character needed; preserve agency brand tone and realistic signage style.","clip-art icons, cartoon fonts, neon gradients","Insert close-up","Patient rights; Language access","Patient Rights Policy; CLAS Language Access","LO1","Rights and Dignity","Policy recognition before field application","N/A","N/A","Policy bridge","Low","N/A","None","Improves rights-consistent interactions","Low","Mapped"
"M01-S07","Act 1","7","Arrival in the U.S.","Temporary housing, first week orientation","In her first U.S. week, the charting language is different, handoffs are faster, and assumptions are unfamiliar. Marites listens deliberately, verifies, and adapts. She is not behind. She is learning the local system before she executes inside it.","70","Careful respectful","Doorway reveal","Slow dissolve to chart close-up","Photorealistic home care scene with Filipina nurse greeting elderly male patient in living room, natural window light, authentic body language, 35mm editorial style.","Keep Marites continuity exact; Mr. Henderson late 70s, guarded expression, modest living room consistency.","romantic glow, fantasy decor, uncanny limbs","Medium two-shot","Patient-centered care; Dignity and respect","Patient Interaction Standards","LO5","Clinical Interaction","Initial rapport and consent-oriented approach","N/A","N/A","Narrative scene","Moderate","Supervisor consult if rapport barriers persist","Document rapport barriers and response","Influences acceptance of care plan","Moderate","Mapped"
"M01-S08","Act 1","8","First Agency Orientation","Agency hallway with rights posters","Marites studies patient rights, language access, and anti-retaliation notices on the agency wall. She treats policy as workflow, not decoration. In high-pressure care, those standards protect patients, staff, and defensibility.","62","Alert composed","Audio bridge from prior dialogue","Cut to challenge card","Photorealistic scene where family member speaks over patient while nurse observes respectfully, natural indoor light, documentary realism, 50mm lens.","Marites in frame with listening posture; bracelet visible during reflective hand movement.","caricature facial expressions, exaggerated anger","Medium over-shoulder","Communication failures; Interpreter services","Interpreter Use Policy","LO3","Communication Safety","Detect and address indirect communication risk","Pre-Assessment Q1","Pre-Assessment Debrief 1","Early warning scenario","High","Escalate to interpreter service and supervisor as needed","Document communication barrier indicators","Prevents incorrect consent and instructions","High","Mapped"
"M01-S09","Act 1","9","First Home Visit Setup (Mr. Henderson)","Car outside Mr. Henderson's residence","Before knocking, Marites rehearses pronunciation, confirms language preference, and reviews risk notes. Mr. Henderson appears cautious. Trust has not formed yet, and she prepares to earn it through clarity, respect, and consistency.","30","Instructional urgent","Prompt animation in","Hard cut to decision","Photorealistic UI-support visual of nurse pausing at patient doorway with chart and phone, cinematic realism.","Character lock for Marites; neutral expression for decision moment.","gamified cartoon buttons, anime UI","POV with decision overlay","Cultural awareness; Patient rights","CLAS; Patient Rights Policy","LO1|LO5","Assessment","Decision setup","Pre-Assessment Q1","Pre-Assessment Debrief 1","Branch challenge","High","Supervisor escalation branch options","Capture selected decision rationale","Directly affects timely safe care","High","Mapped"
"M01-S10","Act 1","10","Challenge 1 Debrief: Urgency and Respect","Interactive debrief card","The most defensible path balances cultural respect with immediate clinical urgency: acknowledge preferences, assess risk, escalate quickly, and document objectively. Respect without urgency can harm. Urgency without respect can break trust and future care acceptance.","48","Authoritative reassuring","Decision feedback reveal","Cut to Act 2 opening","Photorealistic debrief visual of nurse documenting while speaking with supervisor by phone, calm home setting, editorial realism.","Marites continuity maintained; no wardrobe change.","abstract gradients, infographic cartoons","Medium close","Escalation/reporting; Accountability","Escalation SOP; CLAS Domain 3","LO3|LO5","Debrief","Immediate escalation with balanced accommodation","Pre-Assessment Q1","Debrief 1","Debrief","High","Supervisor -> DON if urgent","Document cultural request and urgency assessment","Reduces delay in critical wound care","High","Mapped"
