"Scene_ID","Scene_Title","Challenge_Question","Option_A","Option_B","Option_C","Option_D","Correct_Answer_Index","Correct_Answer_Label","Operational_Rationale","Status"
"M01-PA-Q1","Pre-Assessment Question 1: Comprehension Signals","A patient nods and says yes after each instruction during medication teaching. What does this most likely tell you?","The patient understood each instruction completely.","The patient is being respectful and attentive — but comprehension has not been verified.","The teaching session is complete and documentation can reflect successful education.","A family member can confirm understanding at the next visit.","1","B","","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-Q2","Pre-Assessment Question 2: Interpreter Services","A patient's adult son offers to interpret during insulin injection teaching. What is the most appropriate response?","Accept the offer — family interpretation is faster and more personal for the patient.","Accept — the patient nodded agreement when asked.","Thank the son and explain that a qualified interpreter will be requested for clinical teaching.","Proceed with teaching and note in the chart that a family member assisted with interpretation.","2","C","","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-Q3","Pre-Assessment Question 3: Rights and Accommodation","A patient's religious beliefs require gender-concordant care. You notice the wound dressing appears soiled and deteriorating. You are the only clinician available for two hours. Most defensible response?","Explain respectfully that clinical urgency takes priority over accommodation requests in this situation.","Acknowledge the request, assess wound urgency immediately, contact your supervisor for accommodation options, and document both.","Ask the patient to sign a temporary waiver so care can proceed.","Leave the home and schedule a callback for when an appropriate clinician is available — without assessing the wound.","1","B","","NEEDS REVIEW — LTX/Detail missing"
"M01-S18-Q","Challenge 1: Cultural Preference vs Clinical Urgency — Question","Tess arrives at Mr. Henderson's home for wound care. The family says religious beliefs require gender-concordant care — Tess cannot treat him. The wound dressing is soiled and may be deteriorating. The patient cannot speak to confirm. What is the most defensible immediate action?","Acknowledge the family's request, rapidly assess wound urgency at the bedside, call the supervisor immediately for accommodation routing, and document both the preference and the clinical findings.","Respect the family's preference completely by leaving the home and messaging the office to reschedule with a different clinician.","Proceed with wound care because clinical urgency overrides accommodation requests when deterioration is present.","Ask the family to sign a refusal form first, then determine next steps based on available staffing.","0","A","","NEEDS REVIEW — LTX/Detail missing"
"M01-S22-Q","Challenge 2: Interpreter Workflow Timing — Question","A limited-English patient nods through insulin teaching. The patient's daughter offers to interpret and says her mother is comfortable with her. What is the most defensible action?","Accept the family's offer and proceed with insulin teaching, then document education as completed.","Thank the daughter for offering, pause education, activate the qualified agency interpreter, perform teach-back, and document the barrier, interpreter ID, and patient response.","Deliver the core teaching points now with the daughter interpreting, and schedule a qualified interpreter for the next visit to reinforce.","Ask the patient to sign a written understanding statement now, then follow up with a qualified interpreter at a future visit.","1","B","","NEEDS REVIEW — LTX/Detail missing"
"M01-S25-Q","Challenge 3: Bystander Duty and Reporting — Question","A coworker mocked Tess' accent in the break room in front of witnesses and did not stop when she walked in. Which response is the most professionally defensible?","Calmly address the behavior in the moment, then submit a formal report to the supervisor with the exact behavior, witnesses, time, location, and an anti-retaliation request.","Wait until after shift and report it to HR the following morning to avoid making the situation worse right now.","Confront the coworker loudly in the break room to make clear the behavior is unacceptable.","Focus on patient care and avoid getting involved in personnel issues — the workplace environment is not her responsibility to correct.","0","A","","NEEDS REVIEW — LTX/Detail missing"
"M01-S28-Q","Challenge 4: Corrective Documentation — Question","Tess finds two prior visit records with missing cultural preference and interpreter fields. What is the most defensible corrective action?","Create a late-entry addendum for each record with a timestamp, objective detail including cultural preference and interpreter information, and notify the supervisor about the pattern.","Go back into the original note text and rewrite it to include the missing information so the record appears complete and consistent.","Add a brief note at the end of each record saying 'patient understands' and move forward.","Leave both records as they are and document the missing information fully at the next visit.","0","A","","NEEDS REVIEW — LTX/Detail missing"
"M01-S31-Q","Challenge 5: Teach-Back Under Risk — Question","Mr. Henderson has been double-dosing due to conflicting instructions in two prior visit notes. He hasn't taken today's dose yet. What is the most defensible immediate response?","Correct his understanding at the bedside immediately, update the medication schedule in the chart, call the supervising clinician during this same visit, document the near-miss event, the corrected education, the teach-back result, and the revised care plan — all before leaving the home.","Correct his understanding now and explain the right schedule verbally, then document the correction at the end of the day after all visits are complete to ensure you have time to document thoroughly.","Ask the patient's family member to monitor his medication intake closely and call the agency if any confusion continues, then notify the supervising clinician at your next scheduled check-in.","Wait to adjust the medication instructions until the next scheduled physician order update, so you are not providing instructions that contradict a prior documented order without physician authorization.","0","A","Option A is the only answer that closes every risk loop at the point of care. Near-miss events require same-visit documentation because the chart must be corrected before any other clinician accesses it. The chart does not protect the next clinician from the error until the correction exists in it. Every hour the chart remains uncorrected is an hour during which another clinician accessing the record — a supervisor reviewing remotely, a covering nurse dispatched for an after-hours call, a family member reading a portal — sees the same two conflicting instructions and has no way to know the error was identified and corrected. That is a documented harm pathway.

Option B introduces a specific, measurable gap: if Tess documents at end of day after completing her remaining visits, a clinician assigned to Mr. Henderson for a 7 AM check the following morning will open the chart, find both conflicting instructions still visible, and make a dosing decision based on information Tess knew was wrong but had not yet corrected in the record. It is no longer a near-miss. It is a medication error with a downstream harm event attached to a chart Tess had in her hands the day before.

Option C transfers a clinical safety function to a family member. Monitoring medication intake for accuracy in a double-dosing scenario requires clinical judgment to identify whether a dose has been taken, whether the timing is correct, and whether the instructions as understood by the patient match the corrected order. Asking a family member to ""watch and call if confused"" does not meet that standard. The family member may not recognize that the patient has returned to the incorrect schedule after a day of correct dosing. By the time they call, harm has occurred.

Option D inverts clinical urgency and administrative sequence. A patient who is actively at risk of a pharmacological error today — because of conflicting instructions currently in the chart — cannot safely wait for a physician order update scheduled for a future date. The bedside correction Tess makes is a clinical education correction, not a change in the underlying prescription. She is correcting what the patient understands, escalating to her supervising clinician, and ensuring the chart reflects the accurate instruction. None of those steps require a new physician order. Waiting for one while the patient continues double-dosing is not procedural caution — it is inaction during an active safety event.","COMPLETE"
"M01-S40-Q","Challenge 6: Integrated Workflow Sequencing — Question","New patient, family pushing to start teaching immediately. Tess notices the patient wince — a possible pain indicator not in the chart. Language preference is unconfirmed. Interpreter is not activated. What is the most defensible visit sequence?","Pause the teaching session before it starts. Assess the pain indicator at the bedside first. Confirm the patient's language preference and activate the qualified interpreter before beginning any clinical education. Deliver teaching with teach-back after the interpreter is in place. Document all findings including the pain indicator, language barrier, interpreter ID, teach-back result, and any unresolved clinical risk. Escalate before leaving if needed.","Begin the education session immediately since the family is ready, engaged, and the teaching materials are prepared. Add the interpreter only if confusion becomes apparent during the teaching. Address the wince afterward since it may just be routine positioning discomfort.","Stop all activity and escalate to your supervisor before any bedside clinical work to avoid personal liability for the undocumented pain indicator you observed. Do not touch the patient until supervisor authorization is received.","Build rapport through casual conversation first — ask about the patient's preferences and interests before beginning any clinical assessment or education to establish a trusting relationship before formal workflow.","0","A","Option A is the only sequence that executes in the correct clinical and compliance order. The wince is an uninvestigated clinical finding. It must be assessed before anything else begins because it could represent acute pain, a positional injury, an unreported wound complication, or an emerging condition that materially changes the care plan. You cannot ethically or defensibly begin insulin administration teaching to a patient who may be in active pain during the session — not because it is unkind, but because a patient experiencing pain is not able to engage fully with teaching content, cannot accurately complete teach-back, and may have a clinical condition that changes what should be taught.

After the clinical finding is assessed and addressed, the communication environment must be controlled before any clinical education begins. Teaching through an unqualified family interpreter while a pain indicator remains uninvestigated creates two simultaneous documentation gaps. Teaching delivered without a qualified interpreter has no verified comprehension and cannot be documented as complete or defensible education. Teaching delivered while the patient has an unassessed pain indicator cannot be confirmed as fully absorbed.

Option B is the most operationally common error pattern: beginning teaching before controlling the communication barrier means anything taught during that window has no verified comprehension and no qualified interpreter record. The note will read ""education completed"" with no interpreter ID and no verified teach-back result that a surveyor can examine. The wince being addressed ""afterward"" means the clinician may finish a complete teaching session and then discover the patient was in active pain throughout — invalidating the teaching, creating a documented sequence error, and producing a safety and documentation problem at the end of a visit rather than correcting it at the beginning.

Option C is premature escalation without clinical information. Escalation requires a finding to report. Observing a possible pain indicator and calling your supervisor before assessing it means your supervisor has no clinical information to act on. They cannot authorize, direct, or adjust a care plan based on an unobserved, unassessed event described over the phone. Your job is to assess first, then escalate with specific findings. Calling before assessment does not protect you from liability — it delays the assessment that would generate the information needed for any protective action.

Option D confuses professional rapport with clinical assessment delay. An unassessed pain indicator and an uncontrolled language barrier do not become less clinically urgent while you ask about the patient's hobbies or family history. Rapport in home health is not established through preliminary social conversation that defers clinical work — it is built through competent, respectful care delivered in the correct sequence. A clinician who assesses a patient's pain first and explains what they are doing throughout builds more durable trust than one who delays clinical work in favor of a social warm-up.","COMPLETE"
"M01-S42","Final Assessment Q1: Barrier Prioritization","Three patients on Tess's first independent shift — language barrier with no interpreter pre-scheduled, prior-flagged pain management concern, and a new wound assessment order. What is the most defensible pre-shift prioritization note before departure?","A structured note that explicitly identifies each patient's communication barrier type and status, urgency marker and clinical flag, required pre-visit action (interpreter activation, pain follow-up contact, wound supply confirmation), and escalation threshold — documented and time-stamped before departure from the agency.","A note listing all three patients with their appointment times, addresses, and primary visit purposes — sufficient to begin the shift and address barriers when they are encountered at each home.","A note documenting only the new wound assessment order patient, since the new physician order represents the primary clinical obligation of the day and the other two visits are routine follow-ups.","A note deferring all barrier identification and flagging to point of care at each home visit, since each situation is best assessed in real time with the patient present rather than anticipated in advance.","0","A","Pre-visit barrier identification is not preparatory paperwork. It is patient safety infrastructure. A clinician who arrives at a limited-English patient's home without a pre-activated interpreter has already created a workflow failure before the door opens — because interpreter activation requires time that cannot be absorbed at the bedside when the patient is waiting and the visit window is fixed. A clinician who arrives at a patient with a flagged pain concern without reviewing the prior note and confirming whether the concern has escalated begins the visit without situational awareness of what the chart already knows. A clinician who arrives for a wound assessment without confirming that the required specialized supplies are in the nursing bag may face a visit that cannot be completed safely or must be aborted.

Option A is correct because it requires the clinician to actively resolve each known barrier before it becomes a point-of-care event. The interpreter activation call alone can take ten to fifteen minutes to complete. If that time is attempted at the patient's kitchen table, it absorbs the visit window, leaves the patient waiting, and creates pressure to compress or skip steps that follow. Activating before departure means the interpreter ID is already in the chart before the clinician's car leaves the parking lot.

Option B records the schedule without the preparation. The schedule is not the safety net — the barrier resolution is. A note with three names, three addresses, and three appointment times tells the next reviewer that the shift existed. It does not tell the reviewer that the clinician identified the interpreter gap, closed it, confirmed the pain follow-up, or verified the wound supplies. If something goes wrong at any of those three visits, the pre-shift note is one of the first documents examined. A note that shows three patient names and nothing else does not answer the question that reviewer will ask: did this clinician identify the known risks before the shift began?

Option C creates a triage error by ranking task type over patient risk profile. A new physician wound assessment order is clinically significant. But a patient with a documented language barrier and no pre-arranged interpreter represents an immediate visit execution failure that affects every clinical exchange in the session — including the teaching or assessment that is the primary purpose of the visit. Ranking the wound order above the language barrier because it comes from a physician creates the illusion of clinical priority without the operational reality.

Option D is the inverse of safe practice. Known barriers that can be resolved before departure — a missing interpreter activation, a pain flag that needs follow-up contact, a supply check for a wound kit — do not become resolved by waiting until the clinician is standing at the patient's door. They compound. A clinician who arrives at three consecutive visits without pre-visit barrier resolution is not responding in real time — they are encountering predictable problems without preparation, which produces compounded delay, documentation gaps, and patient safety risk across the full shift.","COMPLETE"
