"Scene_ID","Slide_Type","Scene_Title","LTX23Dev_Video_Generation_Prompt","Estimated_Card_Duration","LTX_Generation_Count","Status"
"M01-PA-INTRO","pre-assessment-intro","Pre-Assessment: Before the Journey Begins","Tess sits at the table, both hands resting near the glass of water. She looks down at the bracelet on her left wrist, touches it briefly with her right hand. She looks up toward the window — evening light filtering through thin curtains. A slow exhale. She returns her gaze to the packed bag on the floor beside the table. Still. Quiet.","12","2","COMPLETE"
"M01-PA-Q1","pre-assessment-challenge","Pre-Assessment Question 1: Comprehension Signals","Tess points to the medication blister pack on the bedside table and speaks a brief instruction. The patient nods and says yes — a soft, polite nod. Tess pauses and watches the patient's face. She makes a note in her notepad. The patient continues nodding and smiling. Tess writes something else, then looks back at the patient.","15","2","COMPLETE"
"M01-PA-D1","pre-assessment-debrief","Pre-Assessment Debrief 1: The Nod Is Not Enough","The charge nurse holds up the open chart and points to a flagged entry with her finger, speaking directly. Tess leans slightly forward to look at where the finger is pointing. She nods once. The charge nurse taps the flagged note a second time for emphasis, then closes the chart. She turns and walks back toward the nursing station. Tess stands in the hallway for a moment, looking at the bulletin board, then turns and follows.","15","2","COMPLETE"
"M01-PA-Q2","pre-assessment-challenge","Pre-Assessment Question 2: Interpreter Services","The son opens the front door wider and gestures Tess inside while speaking — friendly, helpful energy. Tess pauses at the threshold, shifts her nursing bag on her shoulder slightly, and responds — one hand making a brief explanatory gesture. The son tilts his head, listening. Tess says one more sentence. He nods and steps back into the hallway to let her through.","12","2","COMPLETE"
"M01-PA-D2","pre-assessment-debrief","Pre-Assessment Debrief 2: Family Is Not a Qualified Interpreter","The medical assistant wraps the blood pressure cuff around the elderly patient's arm and inflates it. The patient looks at her son with a confused expression, says something quietly. The son puts his hand on her shoulder and speaks to the medical assistant, who nods and writes on a clipboard. The medical assistant checks the blood pressure reading, notes it, and reaches for a second form.","12","2","COMPLETE"
"M01-PA-Q3","pre-assessment-challenge","Pre-Assessment Question 3: Rights and Accommodation","The family member speaks to Tess from the middle of the room, one hand raised in a respectful but firm gesture, shaking her head slightly while explaining. Tess remains at the doorway, listens. She glances past the family member toward the patient's wound dressing on the elevated leg. She looks back at the family member, nods once. She reaches into her nursing bag pocket and pulls out her phone, beginning to scroll for a contact number. Her expression remains professional and calm.","15","2","COMPLETE"
"M01-PA-D3","pre-assessment-debrief","Pre-Assessment Debrief 3: Rights and Urgency Travel Together","Tess steps back from the front door onto the walkway, the door closing behind her. She presses her phone to her ear and begins speaking — measured, clinical. She looks at the chart in her right hand, references something on the page. She nods once as she receives a response from the supervisor. She writes a note in the chart margin with a pen she retrieves from her pocket. She keeps the phone to her ear, listening.","12","2","COMPLETE"
"M01-S01","content","Before Sunrise in Quezon City","Steam rises slowly from the rice cooker vent. The garlic in the pan shifts and sizzles in the oil. A hand enters frame from the right — the mother's hand — and stirs the garlic with a wooden spatula, then withdraws. The rice cooker clicks from the cook setting to warm. The pan continues to sizzle quietly. The fluorescent light hums above.

Tess folds the scrub top once more, smooths it flat with her palms. She places it carefully across the open nursing bag. She pauses. Her right hand reaches to the small photo on the bag's outer pocket — she touches it briefly with her thumb, pressing it gently. She pulls her hand back, picks up the bag's zipper pull, and begins to draw the zipper closed.

Tess stands at the window, one hand resting lightly on the sill. She looks out at the pre-dawn sky. She takes a slow breath — her shoulders rise slightly and settle. She glances back at the nursing bag on the bed behind her. She looks back at the window. Her jaw sets slightly — quiet, internal determination. She steps away from the window, picks up her nursing bag from the bed, and walks toward the bedroom door.","32","4","COMPLETE"
"M01-S02","content","The Mano Po Moment","Tess walks to the kitchen doorway. The grandmother looks up from her coffee. Tess reaches for the grandmother's right hand with both of her own, bows her head slightly, and presses the back of the hand to her forehead. She holds it there. The grandmother places her free hand on Tess's head — gently, deliberately. Both are still for a moment. The grandmother speaks quietly. Tess straightens, nods once. The grandmother's hand slides from Tess's head and returns to the table.","15","2","COMPLETE"
"M01-S03","content","Family Breakfast and Bayanihan","The kuya scoops rice quickly from the central pot. The tita slides a piece of bibingka onto Tess's plate without asking. One cousin reaches across the table for the vinegar bottle. The other cousin protests and gestures. The mother speaks over both of them while serving. Tess sits down at the only empty seat — her plate is already full before she picks up her spoon.

The mother ladles more rice into Tess's bowl, speaking while she does it. Tess nods, takes a bite. The kuya finishes writing on the napkin and slides it across the table toward Tess. She picks it up, reads it. The tita speaks and extends three fingers — one, two, three points. Tess folds the napkin and tucks it into her pocket without comment.

The mother places her right hand on Tess's forearm and speaks directly — three short sentences, practical and firm. Tess listens. She nods once. She covers her mother's hand briefly with her own right hand — one second — then pulls back and picks up her spoon again. The mother turns back to serve the cousins. The conversation at the table continues around them.","34","5","COMPLETE"
