module_id,module_title,lesson_id,lesson_title,role_applicability,pp_codes,federal_regulation_references,cms_cop_references,california_title22_references,achc_hh_standards,workflow_ids,form_ids,evidence_requirements,survey_criticality,risk_level,retraining_frequency,remediation_required,competency_required,evidence_generation_required,achc_mapping_confidence,regulation_mapping_confidence,mapping_review_required
Module-M01,Organization; Compliance; Workforce and IT Foundations,Module-M01-L01,"Agency mission, vision, values",RN|LVN|CNA|HHA|Admin|DON|Comp|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,LOW,LOW,MAPPING_REVIEW_REQUIRED,false,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M01,Organization; Compliance; Workforce and IT Foundations,Module-M01-L02,Organizational structure and reporting lines,RN|LVN|CNA|HHA|Admin|DON|Comp|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,LOW,LOW,MAPPING_REVIEW_REQUIRED,false,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M01,Organization; Compliance; Workforce and IT Foundations,Module-M01-L03,Scope of services,RN|LVN|CNA|HHA|Admin|DON|Comp|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,LOW,LOW,MAPPING_REVIEW_REQUIRED,false,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M01,Organization; Compliance; Workforce and IT Foundations,Module-M01-L04,Code of conduct and ethics,RN|LVN|CNA|HHA|Admin|DON|Comp|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M01,Organization; Compliance; Workforce and IT Foundations,Module-M01-L05,Corporate compliance program,RN|LVN|CNA|HHA|Admin|DON|Comp|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M01,Organization; Compliance; Workforce and IT Foundations,Module-M01-L06,Compliance hotline and reporting,RN|LVN|CNA|HHA|Admin|DON|Comp|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M01,Organization; Compliance; Workforce and IT Foundations,Module-M01-L07,Non-retaliation and whistleblower protection,RN|LVN|CNA|HHA|Admin|DON|Comp|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M01,Organization; Compliance; Workforce and IT Foundations,Module-M01-L08,Employee grievance process,RN|LVN|CNA|HHA|Admin|DON|Comp|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M01,Organization; Compliance; Workforce and IT Foundations,Module-M01-L09,Disciplinary process overview,RN|LVN|CNA|HHA|Admin|DON|Comp|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,MODERATE,MODERATE,MAPPING_REVIEW_REQUIRED,true,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M01,Organization; Compliance; Workforce and IT Foundations,Module-M01-L10,"Timekeeping, attendance, and visit verification",RN|LVN|CNA|HHA|Admin|DON|Comp|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,LOW,LOW,MAPPING_REVIEW_REQUIRED,false,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M01,Organization; Compliance; Workforce and IT Foundations,Module-M01-L11,"IT acceptable use, email, mobile device, and social media",RN|LVN|CNA|HHA|Admin|DON|Comp|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,LOW,LOW,MAPPING_REVIEW_REQUIRED,false,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M01,Organization; Compliance; Workforce and IT Foundations,Module-M01-L12,"Security awareness: passwords, phishing, device protection",RN|LVN|CNA|HHA|Admin|DON|Comp|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,LOW,LOW,MAPPING_REVIEW_REQUIRED,false,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
Module-M01,Organization; Compliance; Workforce and IT Foundations,Module-M01-L13,Policy acknowledgment and training compliance expectations,RN|LVN|CNA|HHA|Admin|DON|Comp|HR|IT,,,,,,,,lesson_completion;challenge_completion;operational_debrief;competency_validation;acknowledgment_tracking;retraining_metadata;audit_timestamps,LOW,LOW,MAPPING_REVIEW_REQUIRED,false,true,true,MAPPING_REVIEW_REQUIRED,MAPPING_REVIEW_REQUIRED,true
