Module,Location,Text to Clone (TTS Narration Script),Image Generation Prompt,Video Generation Prompt,Estimated Video Length
ACHC-ART-M01 — Cultural Awareness,Journey/M01/Lesson 1/Card 1 — Summary,"Cultural competence is the ability to deliver effective care to patients with different cultural backgrounds, values, and communication styles. The CLAS Standards — fifteen federal benchmarks — define what equitable care looks like in home health. This is not a soft skill. It is a survey-ready, patient-safety requirement.",A diverse home health team of nurses and aides in professional scrubs gathered outside a residential home. Warm daylight. Photorealistic. Professional and welcoming.,A 30-second 2D animated intro card. A diverse group of patient icons surrounded by cultural symbols — language bubbles prayer symbols family structures. Bold text: Cultural Competence = Patient Safety.,30 seconds
ACHC-ART-M01 — Cultural Awareness,Journey/M01/Lesson 1/Card 2 — Content,"The CLAS Standards have three domains. First: governance and workforce — your agency must build cultural competence into hiring, training, and leadership. Second: language assistance — patients with limited English proficiency must receive qualified interpreter services at no cost, not a family member translation. Third: accountability — cultural accommodations must be documented in the clinical record.",A home health nurse reviewing a care plan with an interpreter on a phone while sitting with an elderly patient from a South Asian background. Photorealistic. Warm and professional.,A 45-second explainer animation. Three labeled icons expand in sequence: Governance — Language Assistance — Accountability. Each shows a real-world home health scenario example.,45 seconds
ACHC-ART-M01 — Cultural Awareness,Journey/M01/Lesson 1/Card 3 — Challenge,"Time for a scenario. You arrive for wound care. The patient's daughter says her mother will not allow a male caregiver to provide personal care due to religious beliefs. The patient agrees. The wound needs attention. What are your next steps? Think about patient rights, CLAS Standards, and what you document.",,, 
ACHC-ART-M01 — Cultural Awareness,Journey/M01/Lesson 2/Card 1 — Summary,"Culture shapes how your patients communicate with you — or whether they communicate at all. Eye contact that signals respect in one culture signals aggression in another. Silence may mean agreement, or shame, or confusion. In some cultures, health decisions are made by the family, not the patient. Recognizing these patterns is the first step to effective care.",A male home health nurse sitting across from an elderly female patient. He uses open body language and a calm expression. Natural warm indoor light. Photorealistic.,A 30-second card showing cultural communication patterns side-by-side — direct eye contact with checkmark for one culture and an X for another. Clean 2D animation.,30 seconds
ACHC-ART-M01 — Cultural Awareness,Journey/M01/Lesson 2/Card 2 — Content,"Three rules for cross-cultural communication. First: use open body language and a neutral tone — avoid assumptions about what signals mean. Second: verify comprehension with teach-back — ask the patient to explain back or demonstrate, never accept a nod as understanding. Third: for patients with limited English, use your agency-approved interpreter service. Family members must not interpret clinical content.",A nurse using a phone interpreter while demonstrating a medication technique to a patient. Professional and focused. Photorealistic. Home setting with natural light.,A 45-second animated rule card. Three numbered rules appear in sequence with visual demonstrations of each. Rule 3 shows a phone interpreter icon versus a family member icon with a red X.,45 seconds
ACHC-ART-M01 — Cultural Awareness,Journey/M01/Lesson 2/Card 3 — Challenge,"Here is your scenario. You are teaching insulin pen technique. The patient nods and says yes throughout. He speaks limited English. When you ask him to demonstrate, he holds the pen incorrectly. What do you do, and what do you document?",,, 
ACHC-ART-M01 — Cultural Awareness,Journey/M01/Lesson 3/Card 1 — Summary,"Cultural bias is unconscious. It affects who you spend more time with, who you assume understands less, who you assume is non-compliant. Workplace discrimination is when bias drives an action — assigning a patient away, refusing to enter a home, treating one family differently than another. Both are your professional responsibility to recognize and address.",A reflective photo of a home health nurse looking in a mirror with a thoughtful expression. Symbolizing self-awareness. Clean and professional. Photorealistic.,A 30-second animated video. A bias icon transitions to an action icon. Text: Bias is unconscious. Discrimination is a choice. Address both.,30 seconds
ACHC-ART-M01 — Cultural Awareness,Journey/M01/Lesson 3/Card 2 — Content,"The EEOC prohibits discrimination in employment based on race, national origin, religion, sex, age, and disability. If a patient or family directs discriminatory language or behavior toward you or a colleague, you are obligated to document it objectively and report to your supervisor and HR. Retaliation for making a good-faith report is separately prohibited under federal law.",A professional HR meeting in a bright office. A home health nurse is speaking with an HR manager across a table with a notepad. Photorealistic. Professional tone.,A 45-second animated explainer. EEOC shield icon with six protected categories listed. Then a flowchart: Observe — Document objectively — Report to Supervisor and HR — No Retaliation.,45 seconds
ACHC-ART-M01 — Cultural Awareness,Journey/M01/Lesson 3/Card 3 — Challenge,"Scenario. Your coworker mutters to you about a patient — these people never follow instructions, it's their culture. The patient is in the next room. You are the only witness. What is your professional obligation? What do you do next?",,, 
ACHC-ART-M02 — Emergency & Disaster Preparedness,Journey/M02/Lesson 1/Card 1 — Summary,"The Agency Emergency Preparedness and Response Plan exists so that when a disaster strikes, every employee knows their role. You are not expected to figure it out in the moment. Your job is to know the plan before the emergency arrives, and execute it when it does. This lesson covers your specific role as a field worker.",An aerial view of a neighborhood with an emergency response vehicle visible. A home health nurse is on her phone looking at a clipboard. Dramatic natural light. Photorealistic.,A 30-second animated intro. Map view of a neighborhood with emergency alert icons appearing. Text: Know your role before the emergency arrives.,30 seconds
