defect_id,severity,surface,route,tester_id,professional_identity,personality,new_user_or_power_user,steps_to_reproduce,expected_result,actual_result,artifact_or_task_ids,console_error,screenshot_path,recommended_fix,blocking_status
"AG03-Q1-001","P1","CES event workspace","/ces/calendar?event=qapi_meeting-20260205-04&workflow=1","HCP-01","QAPI Coordinator","Pragmatic Business Owner","power-user","Open Q1 QAPI event workspace and inspect canonical IDs","Workspace exposes event/task/form/policy/workflow/requirement identity","Expected QAPI workspace/context not visible. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026  Orchestrate deadlines, sprint execution, and survey readiness from one cinematic timeline surface. ","event_id=qapi_meeting-20260205-04","","Builder\_system\UAT_AGENT_FINDINGS\agent03-q1-ces-drill-screenshots\hcp01-power-qapi-workflow.png","Default to workflow/task context with all canonical IDs visible.","BLOCKING"
"AG03-Q1-002","P0","CES completion workflow","/ces/calendar?event=qapi_meeting-20260205-04&workflow=1","HCP-01","QAPI Coordinator","Pragmatic Business Owner","power-user","Open Q1 QAPI event and look for practical completion actions","Required forms/evidence/signature/review actions are available","No reachable completion/evidence/signature/certification controls. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026  Orchestrate deadlines, sprint execution, and survey readiness from one cinematic timeline surface.  BLOCK 16 DUE 13 TRACK 8 Calendar Sprint Board Kanban Gantt Today SYNC ALL EVENTS JULY READINESS ROL","event_id=qapi_meeting-20260205-04","","Builder\_system\UAT_AGENT_FINDINGS\agent03-q1-ces-drill-screenshots\hcp01-power-qapi-workflow.png","Expose task requirement controls from event workspace.","BLOCKING"
"AG03-Q1-003","P1","CES Calendar generation","/ces/calendar?event=complaint_investigation-20260101-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=complaint_investigation-20260101-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-004","P1","CES Calendar generation","/ces/calendar?event=incident_report-20260101-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=incident_report-20260101-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-005","P1","CES Calendar generation","/ces/calendar?event=authorization_audit-20260107-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=authorization_audit-20260107-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-006","P1","CES Calendar generation","/ces/calendar?event=care_coordination_audit-20260107-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=care_coordination_audit-20260107-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-007","P1","CES Calendar generation","/ces/calendar?event=clinical_record_completeness_audit-20260107-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=clinical_record_completeness_audit-20260107-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-008","P1","CES Calendar generation","/ces/calendar?event=infection_control_audit-20260107-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=infection_control_audit-20260107-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-009","P1","CES Calendar generation","/ces/calendar?event=license_exclusion_audit-20260107-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=license_exclusion_audit-20260107-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-010","P1","CES Calendar generation","/ces/calendar?event=medical_necessity_audit-20260107-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=medical_necessity_audit-20260107-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
