"Scene_ID","Slide_Type","Scene_Title","Detailed_Image_Description","FLUX1Dev_Image_Prompt","PuLID_Character_Guidance","Negative_Prompt","Camera_Framing","Status"
"M01-PA-INTRO","pre-assessment-intro","Pre-Assessment: Before the Journey Begins","","Photorealistic documentary interior of a modest Filipino living room at evening, Filipina nurse seated at table with packed bag nearby and parol lantern glowing on wall, quiet contemplative mood, 35mm lens, warm incandescent light.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Evening light, bracelet visible, pensive but composed expression.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium close — Tess at table","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-Q1","pre-assessment-challenge","Pre-Assessment Question 1: Comprehension Signals","","Photorealistic documentary image of Filipina nurse at bedside in Philippine home, elderly patient nodding during medication instruction, warm natural light, 35mm lens, authentic body language.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Philippine home setting — modest bedroom, natural light.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot — nurse and patient","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-D1","pre-assessment-debrief","Pre-Assessment Debrief 1: The Nod Is Not Enough","","Photorealistic debrief visual — nurse reviewing teach-back documentation at modest Philippine desk, warm light, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Reflective documentation posture. Philippines home context.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium close — nurse with chart","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-Q2","pre-assessment-challenge","Pre-Assessment Question 2: Interpreter Services","","Photorealistic documentary image of nurse at residential front door, adult son present as informal interpreter offer, realistic body language, natural exterior light, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Residential doorway — realistic suburban setting.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — doorway two-shot","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-D2","pre-assessment-debrief","Pre-Assessment Debrief 2: Family Is Not a Qualified Interpreter","","Photorealistic debrief image — nurse on interpreter phone call in modest home, patient present, realistic setting, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Interpreter call in session — bracelet and badge consistent.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — nurse with phone at patient home","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-Q3","pre-assessment-challenge","Pre-Assessment Question 3: Rights and Accommodation","","Photorealistic documentary image of nurse at residential front door with concerned family member, clinical urgency visible in nurse's posture, realistic natural light, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. At patient doorway — first visit energy. Bracelet visible.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — doorway with family in background","NEEDS REVIEW — LTX/Detail missing"
"M01-PA-D3","pre-assessment-debrief","Pre-Assessment Debrief 3: Rights and Urgency Travel Together","","Photorealistic debrief image — nurse on phone outside residential home, supervisor call in progress, chart open, bracelet visible, realistic documentary realism, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Outside patient home — escalation call posture. Bracelet close.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium — nurse with phone at doorway","NEEDS REVIEW — LTX/Detail missing"
"M01-S01","content","Before Sunrise in Quezon City","","Photorealistic documentary still of a Filipina woman in navy scrubs sitting in a small pre-dawn kitchen, rice cooker visible, warm incandescent light, cinematic 35mm lens, shallow depth of field, authentic film grain.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium wide eye-level","NEEDS REVIEW — LTX/Detail missing"
"M01-S02","content","The Mano Po Moment","","Photorealistic close documentary shot of Filipina nurse bowing slightly, taking elderly woman's hand and pressing it to her forehead in traditional Mano Po greeting, warm morning kitchen light, 50mm lens, true skin texture.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Lola: elderly Filipina woman, white hair, simple church dress, deeply warm expression.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Close two-shot — eye-level","NEEDS REVIEW — LTX/Detail missing"
"M01-S03","content","Family Breakfast and Bayanihan","","Photorealistic documentary wide shot of a crowded Filipino family breakfast table, multiple generations, traditional bibingka on table, warm natural morning light through shuttered windows, authentic chaos of communal meal, 35mm lens.","Character anchor: Tess, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Secondary family members: varied ages, casual Filipino home clothing, authentic warm expressions.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Wide ensemble — eye-level","NEEDS REVIEW — LTX/Detail missing"
